sample,scope,outcome,xvar,coef,se,t,p,sig,N,N_city,r2,mean_y
matched_2012_2022,inv_app_pub,ln1p_new_applicants,ln1p_idc_stock,.0498274431881991,.031676859,1.572992,.11681101,,3198,291,.9568142208973177,4.8425179
matched_2012_2022,inv_app_pub,ln1p_new_applicants,ln1p_idc_new_l1,.0364950089196998,.023971934,1.5224056,.12899712,,3198,291,.956745205455633,4.8425179
matched_2012_2022,inv_app_pub,ln1p_new_applicants,ln1p_idc_new,.0307712915031263,.02109709,1.4585562,.14576951,,3198,291,.9567272374118021,4.8425179
matched_2012_2022,inv_app_pub,new_applicant_share,ln1p_idc_stock_l1,.0184453532685081,.0069439351,2.6563256,.0083370376,***,3198,291,.6767392428914629,.41149214
matched_2012_2022,inv_app_pub,new_applicant_share,ln1p_idc_stock,.0140848664115914,.0073373877,1.9196023,.055889156,*,3198,291,.6761577227773381,.41149214
matched_2012_2022,inv_app_pub,new_applicant_share,ln1p_idc_new_l1,.013913220357171,.0063912049,2.1769323,.030292021,**,3198,291,.6760519881224795,.41149214
matched_2012_2022,inv_app_pub,new_applicant_share,ln1p_idc_new,.0086741849929452,.0058420054,1.4847958,.13868408,,3198,291,.6756748805995609,.41149214
matched_2012_2022,inv_app_pub,ln1p_total_patents,ln1p_idc_stock_l1,.0567491538183006,.035471573,1.5998487,.11072096,,3198,291,.9615050545019973,6.5353384
matched_2012_2022,inv_app_pub,ln1p_total_patents,ln1p_idc_stock,.045479477426204,.035362691,1.2860864,.19943875,,3198,291,.9614643968847336,6.5353384
matched_2012_2022,inv_app_pub,ln1p_total_patents,ln1p_idc_new_l1,-.0085182023468978,.021945441,-.38815361,.69818711,,3198,291,.9614029753183361,6.5353384
matched_2012_2022,inv_app_pub,ln1p_total_patents,ln1p_idc_new,.0022309363299202,.021952383,.10162616,.91912365,,3198,291,.9614011642721944,6.5353384
matched_2012_2022,inv_grant_pub,hhi,ln1p_idc_stock_l1,.0115634579218477,.0061048479,1.8941436,.059200879,*,3193,291,.6649367506769159,.094070747
matched_2012_2022,inv_grant_pub,hhi,ln1p_idc_stock,.0112198250892754,.0064609689,1.7365546,.083527751,*,3193,291,.6648328455094157,.094070747
matched_2012_2022,inv_grant_pub,hhi,ln1p_idc_new_l1,.0029711438193729,.0036029366,.82464504,.4102509,,3193,291,.664019269080371,.094070747
matched_2012_2022,inv_grant_pub,hhi,ln1p_idc_new,-.0012675491975528,.0032949701,-.38469216,.70074749,,3193,291,.6639756862344023,.094070747
matched_2012_2022,inv_grant_pub,top1_share,ln1p_idc_stock_l1,.0090109593917486,.0086295223,1.0442014,.29726186,,3193,291,.6584269585642131,.19785003
matched_2012_2022,inv_grant_pub,top1_share,ln1p_idc_stock,.0098219194130274,.0088362163,1.1115526,.26725119,,3193,291,.6584736769690901,.19785003
matched_2012_2022,inv_grant_pub,top1_share,ln1p_idc_new_l1,-.00047532051208,.0058526411,-.081214704,.93532723,,3193,291,.6580596426971247,.19785003
matched_2012_2022,inv_grant_pub,top1_share,ln1p_idc_new,-.0046653479820179,.0051378501,-.90803504,.36461365,,3193,291,.6581400387007726,.19785003
matched_2012_2022,inv_grant_pub,top5_share,ln1p_idc_stock_l1,.0242498359464966,.01105183,2.1941919,.02901477,**,3193,291,.7763780751138372,.43521211
matched_2012_2022,inv_grant_pub,top5_share,ln1p_idc_stock,.0263574788888955,.01158902,2.2743492,.023675421,**,3193,291,.7765442918846702,.43521211
matched_2012_2022,inv_grant_pub,top5_share,ln1p_idc_new_l1,.0078713009958359,.0077185621,1.0197885,.30867878,,3193,291,.7751195967259613,.43521211
matched_2012_2022,inv_grant_pub,top5_share,ln1p_idc_new,.002694771920852,.0065296479,.41269791,.68013293,,3193,291,.775013028089252,.43521211
matched_2012_2022,inv_grant_pub,top10_share,ln1p_idc_stock_l1,.0262815958920183,.010969582,2.3958611,.017215164,**,3193,291,.8324234941293809,.56025976
matched_2012_2022,inv_grant_pub,top10_share,ln1p_idc_stock,.0275453030702654,.011403187,2.4155793,.016328391,**,3193,291,.8324826920573545,.56025976
matched_2012_2022,inv_grant_pub,top10_share,ln1p_idc_new_l1,.0115858665294182,.0074026957,1.5650874,.11865292,,3193,291,.8312384166886753,.56025976
matched_2012_2022,inv_grant_pub,top10_share,ln1p_idc_new,.0052474477482091,.0062970831,.833314,.40535346,,3193,291,.8310568954781602,.56025976
matched_2012_2022,inv_grant_pub,ln_effective_applicants,ln1p_idc_stock_l1,-.1017893101889915,.058189098,-1.7492849,.081299648,*,3193,291,.7975137833837309,2.8756924
matched_2012_2022,inv_grant_pub,ln_effective_applicants,ln1p_idc_stock,-.11722732522417,.060037583,-1.9525657,.051832974,*,3193,291,.7977827682308938,2.8756924
matched_2012_2022,inv_grant_pub,ln_effective_applicants,ln1p_idc_new_l1,-.0302631319922267,.044013985,-.68757993,.49226689,,3193,291,.7965477510123373,2.8756924
matched_2012_2022,inv_grant_pub,ln_effective_applicants,ln1p_idc_new,-.0162924308851094,.037009079,-.44022796,.66009992,,3193,291,.7964932584472311,2.8756924
matched_2012_2022,inv_grant_pub,ln1p_active_applicants,ln1p_idc_stock_l1,.093461063124651,.034448143,2.7130945,.00706441,***,3193,291,.9632828417986196,4.3361311
matched_2012_2022,inv_grant_pub,ln1p_active_applicants,ln1p_idc_stock,.1078431876724731,.035336994,3.0518496,.0024850075,***,3193,291,.9633889087252541,4.3361311
matched_2012_2022,inv_grant_pub,ln1p_active_applicants,ln1p_idc_new_l1,.0493776432997591,.02069477,2.3859963,.017674545,**,3193,291,.9629728119870987,4.3361311
matched_2012_2022,inv_grant_pub,ln1p_active_applicants,ln1p_idc_new,.0573735509386896,.018881697,3.0385804,.0025935124,***,3193,291,.9630045200326451,4.3361311
matched_2012_2022,inv_grant_pub,ln1p_new_applicants,ln1p_idc_stock_l1,.1172256690058009,.037122365,3.1578181,.0017571544,***,3193,291,.9452548904250108,3.8331819
