eventdef,spec,outcome,event,rel,coef,se,t,p,sig,preF,prep,N,N_city,N_treated_city,mean_y
scope_ge_5,provyr_baseyr_fe,new_applicant_share,es_0,0,.0035150254,.01982935,.17726378,.85942847,,.8628395490086,.4607828,4519,283,32,.4389042909489195
scope_ge_5,provyr_baseyr_fe,new_applicant_share,es_p1,1,-.022046035,.02186854,-1.0081165,.31426278,,.8628395490086,.4607828,4519,283,32,.4389042909489195
scope_ge_5,provyr_baseyr_fe,new_applicant_share,es_p2,2,-.004454921,.021158602,-.21054892,.83339131,,.8628395490086,.4607828,4519,283,32,.4389042909489195
scope_ge_5,provyr_baseyr_fe,new_applicant_share,es_p3,3,-.0082110241,.021903031,-.37488073,.70803094,,.8628395490086,.4607828,4519,283,32,.4389042909489195
scope_ge_5,provyr_baseyr_fe,new_applicant_share,es_p4,4,-.021143207,.023135295,-.913894,.36155325,,.8628395490086,.4607828,4519,283,32,.4389042909489195
scope_ge_5,province_year_fe,hhi,es_m4,-4,-.0069997213,.011926893,-.58688557,.55775011,,1.488504689442888,.21785472,4519,283,32,.0617767894316008
scope_ge_5,province_year_fe,hhi,es_m3,-3,-.00043124065,.0067521939,-.063866742,.94912159,,1.488504689442888,.21785472,4519,283,32,.0617767894316008
scope_ge_5,province_year_fe,hhi,es_m2,-2,-.0070148748,.0065157008,-1.076611,.28257427,,1.488504689442888,.21785472,4519,283,32,.0617767894316008
scope_ge_5,province_year_fe,hhi,es_0,0,-.00088578137,.0054446463,-.16268849,.87088025,,1.488504689442888,.21785472,4519,283,32,.0617767894316008
scope_ge_5,province_year_fe,hhi,es_p1,1,.0066452376,.0073153405,.90839761,.36444387,,1.488504689442888,.21785472,4519,283,32,.0617767894316008
scope_ge_5,province_year_fe,hhi,es_p2,2,-.0050104992,.0083452715,-.60039973,.54872203,,1.488504689442888,.21785472,4519,283,32,.0617767894316008
scope_ge_5,province_year_fe,hhi,es_p3,3,-.0019641181,.0084503954,-.23242915,.81637329,,1.488504689442888,.21785472,4519,283,32,.0617767894316008
scope_ge_5,province_year_fe,hhi,es_p4,4,.0001673426,.0099961162,.016740762,.98665529,,1.488504689442888,.21785472,4519,283,32,.0617767894316008
scope_ge_5,provyr_baseyr_fe,hhi,es_m4,-4,.0031096064,.010503471,.29605514,.76740587,,1.086118048146656,.35531399,4519,283,32,.0617767894316008
scope_ge_5,provyr_baseyr_fe,hhi,es_m3,-3,.0014547275,.0068787918,.21148008,.83266544,,1.086118048146656,.35531399,4519,283,32,.0617767894316008
scope_ge_5,provyr_baseyr_fe,hhi,es_m2,-2,-.0053321151,.0072296425,-.73753506,.46141025,,1.086118048146656,.35531399,4519,283,32,.0617767894316008
scope_ge_5,provyr_baseyr_fe,hhi,es_0,0,-.0017879886,.0055575534,-.32172227,.74790144,,1.086118048146656,.35531399,4519,283,32,.0617767894316008
scope_ge_5,provyr_baseyr_fe,hhi,es_p1,1,.0050609745,.0069329483,.72998875,.46600303,,1.086118048146656,.35531399,4519,283,32,.0617767894316008
scope_ge_5,provyr_baseyr_fe,hhi,es_p2,2,-.005802894,.0079800552,-.72717464,.46772221,,1.086118048146656,.35531399,4519,283,32,.0617767894316008
scope_ge_5,provyr_baseyr_fe,hhi,es_p3,3,-.0041321316,.0086557521,-.47738564,.6334573,,1.086118048146656,.35531399,4519,283,32,.0617767894316008
scope_ge_5,provyr_baseyr_fe,hhi,es_p4,4,-.0023214607,.01093966,-.21220593,.83209968,,1.086118048146656,.35531399,4519,283,32,.0617767894316008
scope_ge_5,province_year_fe,top10_share,es_m4,-4,-.022575716,.039057255,-.57801598,.56371462,,1.332670582790873,.26396319,4519,283,32,.4586391209463579
scope_ge_5,province_year_fe,top10_share,es_m3,-3,.00085185852,.026782142,.031806961,.97464848,,1.332670582790873,.26396319,4519,283,32,.4586391209463579
scope_ge_5,province_year_fe,top10_share,es_m2,-2,-.027903978,.019821914,-1.4077338,.16031128,,1.332670582790873,.26396319,4519,283,32,.4586391209463579
scope_ge_5,province_year_fe,top10_share,es_0,0,.016803255,.016480654,1.0195746,.30880415,,1.332670582790873,.26396319,4519,283,32,.4586391209463579
scope_ge_5,province_year_fe,top10_share,es_p1,1,.036805909,.01921864,1.9151151,.056489263,*,1.332670582790873,.26396319,4519,283,32,.4586391209463579
scope_ge_5,province_year_fe,top10_share,es_p2,2,.026193347,.022217102,1.1789722,.23940298,,1.332670582790873,.26396319,4519,283,32,.4586391209463579
scope_ge_5,province_year_fe,top10_share,es_p3,3,.03306371,.022523656,1.4679549,.14323096,,1.332670582790873,.26396319,4519,283,32,.4586391209463579
scope_ge_5,province_year_fe,top10_share,es_p4,4,.051595472,.029167565,1.7689332,.077985935,*,1.332670582790873,.26396319,4519,283,32,.4586391209463579
scope_ge_5,provyr_baseyr_fe,top10_share,es_m4,-4,.018475834,.036904346,.50064117,.61701423,,1.528789642817799,.20721698,4519,283,32,.4586391209463579
