eventdef,spec,outcome,event,rel,coef,se,t,p,sig,preF,prep,N,N_city,N_treated_city,mean_y
scope_ge_1,provyr_baseyr_fe,ln1p_new_firm_patents,es_0,0,.010024743,.070861928,.14146867,.88762248,,.2701079945616489,.84691757,3719,233,79,4.257318773983052
scope_ge_1,provyr_baseyr_fe,ln1p_new_firm_patents,es_p1,1,-.028657369,.074608482,-.38410336,.70125365,,.2701079945616489,.84691757,3719,233,79,4.257318773983052
scope_ge_1,provyr_baseyr_fe,ln1p_new_firm_patents,es_p2,2,.072737604,.087871037,.82777685,.40864757,,.2701079945616489,.84691757,3719,233,79,4.257318773983052
scope_ge_1,provyr_baseyr_fe,ln1p_new_firm_patents,es_p3,3,-.0036700717,.11117318,-.033012204,.97369325,,.2701079945616489,.84691757,3719,233,79,4.257318773983052
scope_ge_1,provyr_baseyr_fe,ln1p_new_firm_patents,es_p4,4,-.040366087,.10722202,-.376472,.70691013,,.2701079945616489,.84691757,3719,233,79,4.257318773983052
scope_ge_1,province_year_fe,ln1p_new_firm_applicants,es_m4,-4,.014840505,.074272051,.19981278,.84180206,,.8011285044807068,.49434957,3719,233,79,3.52583000525373
scope_ge_1,province_year_fe,ln1p_new_firm_applicants,es_m3,-3,.011735933,.048912793,.23993585,.81059188,,.8011285044807068,.49434957,3719,233,79,3.52583000525373
scope_ge_1,province_year_fe,ln1p_new_firm_applicants,es_m2,-2,-.041880216,.041170161,-1.0172468,.31009567,,.8011285044807068,.49434957,3719,233,79,3.52583000525373
scope_ge_1,province_year_fe,ln1p_new_firm_applicants,es_0,0,-.025712017,.038288228,-.67153847,.50254565,,.8011285044807068,.49434957,3719,233,79,3.52583000525373
scope_ge_1,province_year_fe,ln1p_new_firm_applicants,es_p1,1,-.050837722,.044901934,-1.1321945,.2587215,,.8011285044807068,.49434957,3719,233,79,3.52583000525373
scope_ge_1,province_year_fe,ln1p_new_firm_applicants,es_p2,2,-.032749295,.055375632,-.59140265,.55482644,,.8011285044807068,.49434957,3719,233,79,3.52583000525373
scope_ge_1,province_year_fe,ln1p_new_firm_applicants,es_p3,3,-.029280394,.062154874,-.47108766,.63802081,,.8011285044807068,.49434957,3719,233,79,3.52583000525373
scope_ge_1,province_year_fe,ln1p_new_firm_applicants,es_p4,4,-.011721738,.060106613,-.19501577,.84555125,,.8011285044807068,.49434957,3719,233,79,3.52583000525373
scope_ge_1,provyr_baseyr_fe,ln1p_new_firm_applicants,es_m4,-4,-.044696677,.073821962,-.60546589,.5454613,,1.127159566997805,.33879501,3719,233,79,3.52583000525373
scope_ge_1,provyr_baseyr_fe,ln1p_new_firm_applicants,es_m3,-3,-.0029752289,.04974911,-.059804663,.95236272,,1.127159566997805,.33879501,3719,233,79,3.52583000525373
scope_ge_1,provyr_baseyr_fe,ln1p_new_firm_applicants,es_m2,-2,-.051326178,.041021917,-1.2511891,.21212569,,1.127159566997805,.33879501,3719,233,79,3.52583000525373
scope_ge_1,provyr_baseyr_fe,ln1p_new_firm_applicants,es_0,0,-.011676131,.038352232,-.30444461,.76106209,,1.127159566997805,.33879501,3719,233,79,3.52583000525373
scope_ge_1,provyr_baseyr_fe,ln1p_new_firm_applicants,es_p1,1,-.04026331,.046863139,-.85916805,.39113465,,1.127159566997805,.33879501,3719,233,79,3.52583000525373
scope_ge_1,provyr_baseyr_fe,ln1p_new_firm_applicants,es_p2,2,-.017540235,.057475563,-.30517727,.76050478,,1.127159566997805,.33879501,3719,233,79,3.52583000525373
scope_ge_1,provyr_baseyr_fe,ln1p_new_firm_applicants,es_p3,3,-.013062172,.064146139,-.20363145,.83882004,,1.127159566997805,.33879501,3719,233,79,3.52583000525373
scope_ge_1,provyr_baseyr_fe,ln1p_new_firm_applicants,es_p4,4,.0044384883,.068582192,.064717799,.94845444,,1.127159566997805,.33879501,3719,233,79,3.52583000525373
scope_ge_1,province_year_fe,ln1p_firm_incumbent_patents,es_m4,-4,-.050923821,.12223491,-.41660619,.67735165,,.4893167341321904,.69002992,3719,233,79,4.553303179676834
scope_ge_1,province_year_fe,ln1p_firm_incumbent_patents,es_m3,-3,-.038623981,.092589654,-.41715223,.67695278,,.4893167341321904,.69002992,3719,233,79,4.553303179676834
scope_ge_1,province_year_fe,ln1p_firm_incumbent_patents,es_m2,-2,-.060983963,.056404196,-1.0811955,.28073275,,.4893167341321904,.69002992,3719,233,79,4.553303179676834
scope_ge_1,province_year_fe,ln1p_firm_incumbent_patents,es_0,0,-.068442002,.04590616,-1.490911,.13734324,,.4893167341321904,.69002992,3719,233,79,4.553303179676834
scope_ge_1,province_year_fe,ln1p_firm_incumbent_patents,es_p1,1,-.127611,.067526191,-1.8898,.060031485,*,.4893167341321904,.69002992,3719,233,79,4.553303179676834
scope_ge_1,province_year_fe,ln1p_firm_incumbent_patents,es_p2,2,-.16542594,.093271323,-1.7735993,.07744126,*,.4893167341321904,.69002992,3719,233,79,4.553303179676834
scope_ge_1,province_year_fe,ln1p_firm_incumbent_patents,es_p3,3,-.19360147,.098388098,-1.9677327,.050290085,*,.4893167341321904,.69002992,3719,233,79,4.553303179676834
scope_ge_1,province_year_fe,ln1p_firm_incumbent_patents,es_p4,4,-.25974753,.11620837,-2.2351878,.026357573,**,.4893167341321904,.69002992,3719,233,79,4.553303179676834
scope_ge_1,provyr_baseyr_fe,ln1p_firm_incumbent_patents,es_m4,-4,-.32020524,.10498851,-3.0499074,.0025550795,***,3.634834268852833,.013595598,3719,233,79,4.553303179676834
scope_ge_1,provyr_baseyr_fe,ln1p_firm_incumbent_patents,es_m3,-3,-.16229683,.089168198,-1.8201202,.070029266,*,3.634834268852833,.013595598,3719,233,79,4.553303179676834
scope_ge_1,provyr_baseyr_fe,ln1p_firm_incumbent_patents,es_m2,-2,-.11877549,.054296963,-2.1875162,.029703587,**,3.634834268852833,.013595598,3719,233,79,4.553303179676834
scope_ge_1,provyr_baseyr_fe,ln1p_firm_incumbent_patents,es_0,0,-.049768429,.049776487,-.99983817,.31843051,,3.634834268852833,.013595598,3719,233,79,4.553303179676834
scope_ge_1,provyr_baseyr_fe,ln1p_firm_incumbent_patents,es_p1,1,-.094430275,.072893195,-1.2954608,.19644883,,3.634834268852833,.013595598,3719,233,79,4.553303179676834
scope_ge_1,provyr_baseyr_fe,ln1p_firm_incumbent_patents,es_p2,2,-.10399897,.095586874,-1.0880047,.277722,,3.634834268852833,.013595598,3719,233,79,4.553303179676834
scope_ge_1,provyr_baseyr_fe,ln1p_firm_incumbent_patents,es_p3,3,-.11725163,.10594384,-1.1067339,.26955518,,3.634834268852833,.013595598,3719,233,79,4.553303179676834
scope_ge_1,provyr_baseyr_fe,ln1p_firm_incumbent_patents,es_p4,4,-.13640806,.12116981,-1.1257595,.26143056,,3.634834268852833,.013595598,3719,233,79,4.553303179676834
scope_ge_1,province_year_fe,ln1p_firm_total_patents,es_m4,-4,-.036521174,.096141703,-.37986818,.70439076,,.4818324479043021,.69522816,3719,233,79,5.174285566241617
scope_ge_1,province_year_fe,ln1p_firm_total_patents,es_m3,-3,-.0041117277,.064762898,-.063488938,.94943184,,.4818324479043021,.69522816,3719,233,79,5.174285566241617
