spec,outcome,event,coef,se,t,p,sig,preF,prep,N,N_city,mean_y
city_year_fe,hhi,es_p2,-.000077260720873,.0066245869,-.011662723,.99070776,,1.666996710516616,.17580803,2855,179,.0717806843489644
city_year_fe,hhi,es_p3,.0042483939641285,.0061852462,.68685931,.49306524,,1.666996710516616,.17580803,2855,179,.0717806843489644
city_year_fe,hhi,es_p4,.0111472766864605,.0070578959,1.5794051,.11601858,,1.666996710516616,.17580803,2855,179,.0717806843489644
province_year_fe,hhi,es_m4,-.0081479776459341,.0088594686,-.91969144,.35897869,,1.546174026161782,.20423639,2855,179,.0717806843489644
province_year_fe,hhi,es_m3,-.0110348095155893,.010020124,-1.1012647,.27226838,,1.546174026161782,.20423639,2855,179,.0717806843489644
province_year_fe,hhi,es_m2,.0001245586641255,.0099177491,.012559166,.98999357,,1.546174026161782,.20423639,2855,179,.0717806843489644
province_year_fe,hhi,es_0,-.002007835896424,.0088910367,-.22582698,.82159507,,1.546174026161782,.20423639,2855,179,.0717806843489644
province_year_fe,hhi,es_p1,.0049392441806209,.0096484078,.51192325,.60933924,,1.546174026161782,.20423639,2855,179,.0717806843489644
province_year_fe,hhi,es_p2,.0065253706143715,.0097098444,.67203653,.50243175,,1.546174026161782,.20423639,2855,179,.0717806843489644
province_year_fe,hhi,es_p3,.0110151766344629,.0084717497,1.3002245,.19520506,,1.546174026161782,.20423639,2855,179,.0717806843489644
province_year_fe,hhi,es_p4,.0203496148742773,.0097319633,2.0910082,.037947208,**,1.546174026161782,.20423639,2855,179,.0717806843489644
provyr_baseyr_fe,hhi,es_m4,-.0073106112089122,.009767672,-.74844968,.45517674,,1.124826975692222,.34043682,2855,179,.0717806843489644
provyr_baseyr_fe,hhi,es_m3,-.0092529392044938,.010564194,-.87587738,.3822771,,1.124826975692222,.34043682,2855,179,.0717806843489644
provyr_baseyr_fe,hhi,es_m2,.0002071143180325,.010465622,.019789968,.98423308,,1.124826975692222,.34043682,2855,179,.0717806843489644
provyr_baseyr_fe,hhi,es_0,-.0036160033186385,.0091973981,-.39315504,.69467545,,1.124826975692222,.34043682,2855,179,.0717806843489644
provyr_baseyr_fe,hhi,es_p1,.0022494258522136,.0091059273,.24702874,.80517066,,1.124826975692222,.34043682,2855,179,.0717806843489644
provyr_baseyr_fe,hhi,es_p2,.0033196651814253,.0095070982,.34917757,.72736871,,1.124826975692222,.34043682,2855,179,.0717806843489644
provyr_baseyr_fe,hhi,es_p3,.0082789824842137,.0085865194,.96418381,.33626187,,1.124826975692222,.34043682,2855,179,.0717806843489644
provyr_baseyr_fe,hhi,es_p4,.0157242412552312,.0096508311,1.6293148,.10501485,,1.124826975692222,.34043682,2855,179,.0717806843489644
city_year_fe,top10_share,es_m4,-.011358578560623,.013724362,-.82762158,.40899304,,.9363767312808808,.42432448,2855,179,.4959449697761117
city_year_fe,top10_share,es_m3,-.0063215889044122,.014178063,-.44587114,.65623218,,.9363767312808808,.42432448,2855,179,.4959449697761117
city_year_fe,top10_share,es_m2,.006390743805727,.015682517,.40750751,.68412495,,.9363767312808808,.42432448,2855,179,.4959449697761117
city_year_fe,top10_share,es_0,-.0071095987611685,.015429904,-.46076754,.64552784,,.9363767312808808,.42432448,2855,179,.4959449697761117
city_year_fe,top10_share,es_p1,-.0105839940016391,.014974691,-.70679212,.48061988,,.9363767312808808,.42432448,2855,179,.4959449697761117
city_year_fe,top10_share,es_p2,-.0101095713052687,.016295539,-.62038893,.53579527,,.9363767312808808,.42432448,2855,179,.4959449697761117
city_year_fe,top10_share,es_p3,-.0135279579138291,.014244957,-.94966644,.34356937,,.9363767312808808,.42432448,2855,179,.4959449697761117
city_year_fe,top10_share,es_p4,.0056149492139403,.013647175,.41143674,.68124729,,.9363767312808808,.42432448,2855,179,.4959449697761117
province_year_fe,top10_share,es_m4,-.0086127380980043,.012381339,-.69562256,.48757243,,1.607420579048336,.18932222,2855,179,.4959449697761117
province_year_fe,top10_share,es_m3,.0094046436485415,.01490151,.6311202,.52877152,,1.607420579048336,.18932222,2855,179,.4959449697761117
province_year_fe,top10_share,es_m2,.0161646271457302,.015221379,1.0619687,.28968862,,1.607420579048336,.18932222,2855,179,.4959449697761117
province_year_fe,top10_share,es_0,-.0016706962255672,.013446654,-.12424624,.9012605,,1.607420579048336,.18932222,2855,179,.4959449697761117
province_year_fe,top10_share,es_p1,.0017028671160626,.01360419,.12517226,.90052843,,1.607420579048336,.18932222,2855,179,.4959449697761117
province_year_fe,top10_share,es_p2,.014129841315012,.01503389,.93986601,.34855998,,1.607420579048336,.18932222,2855,179,.4959449697761117
province_year_fe,top10_share,es_p3,.0073960099795007,.015136665,.48861557,.62571532,,1.607420579048336,.18932222,2855,179,.4959449697761117
province_year_fe,top10_share,es_p4,.0225077860056091,.015178479,1.4828749,.13987601,,1.607420579048336,.18932222,2855,179,.4959449697761117
provyr_baseyr_fe,top10_share,es_m4,-.0055028507036219,.013319884,-.41313052,.68000823,,1.072549720293495,.36211693,2855,179,.4959449697761117
provyr_baseyr_fe,top10_share,es_m3,.0098257195467556,.014881362,.66027021,.50993395,,1.072549720293495,.36211693,2855,179,.4959449697761117
provyr_baseyr_fe,top10_share,es_m2,.0143375060642338,.014409709,.99498928,.32109213,,1.072549720293495,.36211693,2855,179,.4959449697761117
provyr_baseyr_fe,top10_share,es_0,-.0071844445828917,.013850743,-.51870465,.60461098,,1.072549720293495,.36211693,2855,179,.4959449697761117
provyr_baseyr_fe,top10_share,es_p1,-.0026582575771416,.013010627,-.20431435,.8383413,,1.072549720293495,.36211693,2855,179,.4959449697761117
provyr_baseyr_fe,top10_share,es_p2,.0082022535110508,.01507633,.54404843,.58708894,,1.072549720293495,.36211693,2855,179,.4959449697761117
provyr_baseyr_fe,top10_share,es_p3,-.0012481811228254,.015649937,-.079756305,.9365207,,1.072549720293495,.36211693,2855,179,.4959449697761117
provyr_baseyr_fe,top10_share,es_p4,.0114785937695575,.015512986,.7399345,.46031454,,1.072549720293495,.36211693,2855,179,.4959449697761117
city_year_fe,base_top_share,es_m4,.0068712016857073,.017851319,.38491285,.7007615,,.3568617639604711,.78423166,2855,179,.1901461423308682
city_year_fe,base_top_share,es_m3,.0141553533211204,.015907459,.88985634,.37474412,,.3568617639604711,.78423166,2855,179,.1901461423308682
city_year_fe,base_top_share,es_m2,.0142771529760277,.01575242,.90634662,.36597767,,.3568617639604711,.78423166,2855,179,.1901461423308682
city_year_fe,base_top_share,es_0,.0147205114743497,.012641389,1.1644695,.24579212,,.3568617639604711,.78423166,2855,179,.1901461423308682
city_year_fe,base_top_share,es_p1,.0140007904205568,.012060504,1.1608794,.24724546,,.3568617639604711,.78423166,2855,179,.1901461423308682
city_year_fe,base_top_share,es_p2,.00978063497649,.011383722,.85917729,.39139828,,.3568617639604711,.78423166,2855,179,.1901461423308682
city_year_fe,base_top_share,es_p3,.0125360068462117,.010181043,1.2313087,.21983179,,.3568617639604711,.78423166,2855,179,.1901461423308682
city_year_fe,base_top_share,es_p4,.0148277451302396,.0099635189,1.4882035,.13846667,,.3568617639604711,.78423166,2855,179,.1901461423308682
province_year_fe,base_top_share,es_m4,-.0077288909541314,.019131096,-.40399626,.6867004,,.6975737991131704,.55468124,2855,179,.1901461423308682
province_year_fe,base_top_share,es_m3,.0081478738635541,.018971717,.42947477,.66809714,,.6975737991131704,.55468124,2855,179,.1901461423308682
province_year_fe,base_top_share,es_m2,.0129792877922746,.016751064,.77483362,.43946606,,.6975737991131704,.55468124,2855,179,.1901461423308682
province_year_fe,base_top_share,es_0,.0107935277888113,.01383529,.78014469,.43634185,,.6975737991131704,.55468124,2855,179,.1901461423308682
province_year_fe,base_top_share,es_p1,.0179965426559447,.013749952,1.308844,.19227447,,.6975737991131704,.55468124,2855,179,.1901461423308682
province_year_fe,base_top_share,es_p2,.0109736050938668,.01409736,.77841562,.43735754,,.6975737991131704,.55468124,2855,179,.1901461423308682
province_year_fe,base_top_share,es_p3,.0089348436492235,.012030501,.74268258,.45865285,,.6975737991131704,.55468124,2855,179,.1901461423308682
province_year_fe,base_top_share,es_p4,.015319477495711,.01087513,1.4086707,.16067694,,.6975737991131704,.55468124,2855,179,.1901461423308682
provyr_baseyr_fe,base_top_share,es_m4,-.0027796010691888,.018978516,-.1464604,.88372368,,.3258384197444074,.80667871,2855,179,.1901461423308682
provyr_baseyr_fe,base_top_share,es_m3,.0047244841752717,.02001147,.23608881,.81363517,,.3258384197444074,.80667871,2855,179,.1901461423308682
provyr_baseyr_fe,base_top_share,es_m2,.0087070021111687,.016500639,.52767664,.59838092,,.3258384197444074,.80667871,2855,179,.1901461423308682
provyr_baseyr_fe,base_top_share,es_0,.0053991156733572,.014568483,.37060246,.71137428,,.3258384197444074,.80667871,2855,179,.1901461423308682
provyr_baseyr_fe,base_top_share,es_p1,.0100535217846929,.013551955,.74185026,.45915577,,.3258384197444074,.80667871,2855,179,.1901461423308682
provyr_baseyr_fe,base_top_share,es_p2,-.0007323590131355,.014633667,-.050046172,.96014172,,.3258384197444074,.80667871,2855,179,.1901461423308682
provyr_baseyr_fe,base_top_share,es_p3,-.0003806815522771,.012664379,-.030059235,.97605348,,.3258384197444074,.80667871,2855,179,.1901461423308682
provyr_baseyr_fe,base_top_share,es_p4,.0053468474626296,.010897545,.49064699,.62428045,,.3258384197444074,.80667871,2855,179,.1901461423308682
city_year_fe,base_mid_inc_share,es_m4,-.0082531618999341,.010499956,-.78601867,.43290162,,1.210296602308875,.30747086,2855,179,.3726418262394285
city_year_fe,base_mid_inc_share,es_m3,-.0065518466885324,.011963858,-.54763663,.58462751,,1.210296602308875,.30747086,2855,179,.3726418262394285
city_year_fe,base_mid_inc_share,es_m2,.0130016768288424,.012099331,1.0745782,.2840181,,1.210296602308875,.30747086,2855,179,.3726418262394285
city_year_fe,base_mid_inc_share,es_0,-.0068361663265909,.012297398,-.55590343,.57897496,,1.210296602308875,.30747086,2855,179,.3726418262394285
