family,outcome_type,sample,spec,outcome,coef,se,stat,p,sig,N,N_city,mean_y,converged
top_mobility,share_rate_ols,min20,provyr_base_policy,top20_turnover_base_share,.0059744431593283,.0081929881,.72921419,.46646947,,4371,286,.77277386,1
top_mobility,share_rate_ols,min20,city_year,top10_turnover_prev_pat_share,.0531334297038016,.012041719,4.412446,.000014444586,***,4216,290,.43734244,1
top_mobility,share_rate_ols,min20,provyr_base,top10_turnover_prev_pat_share,.0361992625315423,.015402179,2.3502688,.019441716,**,4142,286,.43734244,1
top_mobility,share_rate_ols,min20,provyr_base_policy,top10_turnover_prev_pat_share,.0352892058637302,.015588094,2.2638564,.024334682,**,4142,286,.43734244,1
top_mobility,share_rate_ols,min20,city_year,top20_turnover_prev_pat_share,.0358564200003186,.010635708,3.3713241,.00084997021,***,4216,290,.45663685,1
top_mobility,share_rate_ols,min20,provyr_base,top20_turnover_prev_pat_share,.0279609922242825,.013826475,2.0222793,.044081431,**,4142,286,.45663685,1
top_mobility,share_rate_ols,min20,provyr_base_policy,top20_turnover_prev_pat_share,.0281567596575218,.014073294,2.0007229,.046370566,**,4142,286,.45663685,1
top_mobility,share_rate_ols,min20,city_year,top10_turnover_base_pat_share,-.0017162428193859,.012705109,-.13508289,.89264035,,4452,290,.62138635,1
top_mobility,share_rate_ols,min20,provyr_base,top10_turnover_base_pat_share,.0202212737196726,.021848077,.92554027,.355468,,4371,286,.62138635,1
top_mobility,share_rate_ols,min20,provyr_base_policy,top10_turnover_base_pat_share,.0155027824817079,.024712931,.62731457,.53095531,,4371,286,.62138635,1
top_mobility,share_rate_ols,min20,city_year,top20_turnover_base_pat_share,-.0064752404113226,.011754276,-.55088383,.58213896,,4452,290,.62829393,1
top_mobility,share_rate_ols,min20,provyr_base,top20_turnover_base_pat_share,.0136302314927971,.019285321,.7067672,.48028859,,4371,286,.62829393,1
top_mobility,share_rate_ols,min20,provyr_base_policy,top20_turnover_base_pat_share,.0082004709248095,.021805946,.37606585,.70714772,,4371,286,.62829393,1
top_mobility,share_rate_ols,min20,city_year,top10_persistence_prev_share,-.0156906805935087,.010129125,-1.5490658,.12246026,,4216,290,.41265598,1
top_mobility,share_rate_ols,min20,provyr_base,top10_persistence_prev_share,-.0137739430416337,.012460385,-1.1054188,.26991045,,4142,286,.41265598,1
top_mobility,share_rate_ols,min20,provyr_base_policy,top10_persistence_prev_share,-.0173339445194819,.013587128,-1.2757622,.20307839,,4142,286,.41265598,1
top_mobility,share_rate_ols,min20,city_year,top20_persistence_prev_share,.0066202637816565,.0082749175,.80003989,.42434484,,4216,290,.36580184,1
top_mobility,share_rate_ols,min20,provyr_base,top20_persistence_prev_share,-.0026148555295937,.010163703,-.25727391,.797153,,4142,286,.36580184,1
top_mobility,share_rate_ols,min20,provyr_base_policy,top20_persistence_prev_share,-.0054614952154701,.010070169,-.54234391,.58800542,,4142,286,.36580184,1
top_mobility,share_rate_ols,min20,city_year,top10_persistence_base_share,-.0171438113556591,.0071124756,-2.4103858,.016560115,**,4452,290,.25175226,1
top_mobility,share_rate_ols,min20,provyr_base,top10_persistence_base_share,-.0074388169067286,.0097050788,-.76648706,.44402099,,4371,286,.25175226,1
top_mobility,share_rate_ols,min20,provyr_base_policy,top10_persistence_base_share,-.0150608188298854,.010399084,-1.4482833,.14863707,,4371,286,.25175226,1
top_mobility,share_rate_ols,min20,city_year,top20_persistence_base_share,-.0137834297248886,.0059258784,-2.3259726,.020711811,**,4452,290,.22722615,1
top_mobility,share_rate_ols,min20,provyr_base,top20_persistence_base_share,-.0049765230228341,.0079411026,-.62667906,.53137124,,4371,286,.22722615,1
top_mobility,share_rate_ols,min20,provyr_base_policy,top20_persistence_base_share,-.0059744431593283,.0081929881,-.72921419,.46646947,,4371,286,.22722615,1
quality_entry,share_rate_ols,min20,city_year,qgrant_share_total,.0343085956520346,.0055003501,6.2375298,1.5751666e-09,***,4448,290,.14376627,1
quality_entry,share_rate_ols,min20,provyr_base,qgrant_share_total,.0086956601594262,.0067929956,1.2800921,.20155367,,4367,286,.14376627,1
quality_entry,share_rate_ols,min20,provyr_base_policy,qgrant_share_total,.0056702002116021,.0070291236,.80667245,.42052785,,4367,286,.14376627,1
quality_entry,share_rate_ols,min20,city_year,qgrant_share_new,.029822673123366,.0099116722,3.0088439,.0028534762,***,4448,290,.34286922,1
quality_entry,share_rate_ols,min20,provyr_base,qgrant_share_new,-.000643995468267,.015054184,-.042778503,.96590805,,4367,286,.34286922,1
quality_entry,share_rate_ols,min20,provyr_base_policy,qgrant_share_new,-.0020360514576653,.016203521,-.12565489,.90009373,,4367,286,.34286922,1
quality_entry,share_rate_ols,min20,city_year,qgrantyr_share_total,.0138421062218033,.0035533735,3.895483,.0001218168,***,4451,290,.10788741,1
quality_entry,share_rate_ols,min20,provyr_base,qgrantyr_share_total,.003137765429922,.0047656582,.65841174,.51080513,,4370,286,.10788741,1
quality_entry,share_rate_ols,min20,provyr_base_policy,qgrantyr_share_total,.0016685109365694,.004779669,.34908503,.72728324,,4370,286,.10788741,1
quality_entry,share_rate_ols,min20,city_year,qgrantyr_share_new,.0206300668668639,.0092459647,2.2312508,.026431536,**,4451,290,.28375408,1
quality_entry,share_rate_ols,min20,provyr_base,qgrantyr_share_new,-.000497446297861,.011830083,-.042049263,.9664889,,4370,286,.28375408,1
quality_entry,share_rate_ols,min20,provyr_base_policy,qgrantyr_share_new,-.00391788538229,.011729813,-.3340109,.73861694,,4370,286,.28375408,1
quality_entry,share_rate_ols,min20,city_year,qcited_share_total,.0102134546520021,.0022971788,4.4460859,.000012482202,***,4228,290,.036170188,1
quality_entry,share_rate_ols,min20,provyr_base,qcited_share_total,.002541721373292,.0026026205,.97660089,.329595,,4140,286,.036170188,1
quality_entry,share_rate_ols,min20,provyr_base_policy,qcited_share_total,.0009936714231425,.0027571179,.36040223,.7188133,,4140,286,.036170188,1
quality_entry,share_rate_ols,min20,city_year,qcited_share_new,-.0016715638543596,.0038392004,-.43539375,.66360164,,4228,290,.08142449,1
quality_entry,share_rate_ols,min20,provyr_base,qcited_share_new,-.0035757176948894,.0056975316,-.62759066,.53077465,,4140,286,.08142449,1
quality_entry,share_rate_ols,min20,provyr_base_policy,qcited_share_new,-.0039062760849576,.0063855588,-.611736,.5412001,,4140,286,.08142449,1
