sample,scope,spec,outcome,coef,se,t,p,sig,N,N_city,mean_y
y2023,inv_grant_grantyear,province_year_fe,top10_share,.064725962704881,.015940359,4.0605087,.000063056257,***,4629,291,.59170712726077
y2023,inv_grant_grantyear,provyr_baseyr_fe,top10_share,-.0069804319408519,.014520715,-.48072234,.63107634,,4629,291,.59170712726077
y2020,inv_grant_cited_appyear,province_year_fe,new_applicant_share,.0224843001575001,.01436417,1.5653045,.11860581,,3606,290,.5748196681492113
y2020,inv_grant_cited_appyear,provyr_baseyr_fe,new_applicant_share,-.003883213574783,.017021811,-.22813165,.81970525,,3606,290,.5748196681492113
y2020,inv_grant_cited_appyear,province_year_fe,ln1p_new_applicants,-.0388057728377704,.034596663,-1.1216623,.26293716,,3606,290,2.565396797007295
y2020,inv_grant_cited_appyear,provyr_baseyr_fe,ln1p_new_applicants,.0345536312945327,.052115455,.66302079,.5078457,,3606,290,2.565396797007295
y2020,inv_grant_cited_appyear,province_year_fe,ln1p_new_patents,-.0583097462445688,.037721045,-1.5458148,.12324363,,3606,290,2.683137043337342
y2020,inv_grant_cited_appyear,provyr_baseyr_fe,ln1p_new_patents,.0347170581269437,.056485672,.61461705,.5392912,,3606,290,2.683137043337342
y2020,inv_grant_cited_appyear,province_year_fe,ln1p_total_patents,-.0833970411682096,.040637858,-2.0522008,.041050788,**,3606,290,3.303862331054578
y2020,inv_grant_cited_appyear,provyr_baseyr_fe,ln1p_total_patents,.0126797169595275,.056146696,.22583193,.82149178,,3606,290,3.303862331054578
y2020,inv_grant_cited_appyear,province_year_fe,ln1p_incumbent_patents,-.1345817771908309,.053045385,-2.5371063,.011703206,**,3606,290,2.480939003596055
y2020,inv_grant_cited_appyear,provyr_baseyr_fe,ln1p_incumbent_patents,.0371802148292607,.068309501,.54429048,.58666128,,3606,290,2.480939003596055
y2020,inv_grant_cited_appyear,province_year_fe,hhi,-.0012069713880177,.010415417,-.11588316,.90782565,,3606,290,.2010030479544704
y2020,inv_grant_cited_appyear,provyr_baseyr_fe,hhi,-.0053906050089973,.011499083,-.46878564,.63957626,,3606,290,.2010030479544704
y2020,inv_grant_cited_appyear,province_year_fe,top10_share,.0041106845709406,.011027208,.37277657,.70958799,,3606,290,.7523481220323845
y2020,inv_grant_cited_appyear,provyr_baseyr_fe,top10_share,-.0165774198705349,.014305524,-1.1588125,.24748924,,3606,290,.7523481220323845
y2021,inv_grant_cited_appyear,province_year_fe,new_applicant_share,.0271450279182311,.013809741,1.9656434,.050297104,*,3873,290,.5735933613261783
y2021,inv_grant_cited_appyear,provyr_baseyr_fe,new_applicant_share,.0043128972340045,.016158557,.26691106,.78972799,,3873,290,.5735933613261783
y2021,inv_grant_cited_appyear,province_year_fe,ln1p_new_applicants,-.0307108725263257,.035180151,-.87296027,.38340947,,3873,290,2.532423999688717
y2021,inv_grant_cited_appyear,provyr_baseyr_fe,ln1p_new_applicants,.0607518747741549,.050821535,1.1953963,.23291221,,3873,290,2.532423999688717
y2021,inv_grant_cited_appyear,province_year_fe,ln1p_new_patents,-.047314554452841,.038266283,-1.2364554,.21729322,,3873,290,2.645759840262273
y2021,inv_grant_cited_appyear,provyr_baseyr_fe,ln1p_new_patents,.0651708431403193,.055461474,1.1750652,.24093589,,3873,290,2.645759840262273
y2021,inv_grant_cited_appyear,province_year_fe,ln1p_total_patents,-.0809156161061619,.039303541,-2.0587358,.040415633,**,3873,290,3.266123158460859
y2021,inv_grant_cited_appyear,provyr_baseyr_fe,ln1p_total_patents,.0303489838270874,.054723352,.55458927,.57960457,,3873,290,3.266123158460859
y2021,inv_grant_cited_appyear,province_year_fe,ln1p_incumbent_patents,-.1411593016221574,.050560053,-2.7919135,.0055890363,***,3873,290,2.449907356984173
y2021,inv_grant_cited_appyear,provyr_baseyr_fe,ln1p_incumbent_patents,.0438987077446565,.066244051,.66268152,.50806272,,3873,290,2.449907356984173
y2021,inv_grant_cited_appyear,province_year_fe,hhi,-.0102202686577868,.01071534,-.95379782,.34098306,,3873,290,.2058152797934967
y2021,inv_grant_cited_appyear,provyr_baseyr_fe,hhi,-.0107964184012916,.011566785,-.93339837,.35139349,,3873,290,.2058152797934967
y2021,inv_grant_cited_appyear,province_year_fe,top10_share,-.005905675269358,.010628182,-.55566186,.57887197,,3873,290,.7553122737613368
y2021,inv_grant_cited_appyear,provyr_baseyr_fe,top10_share,-.0245093412150816,.01451635,-1.6883956,.092414014,*,3873,290,.7553122737613368
y2022,inv_grant_cited_appyear,province_year_fe,new_applicant_share,.0273329753380279,.013659613,2.0010066,.046326648,**,4122,290,.571345357694056
y2022,inv_grant_cited_appyear,provyr_baseyr_fe,new_applicant_share,.0014133971117478,.015888399,.088957801,.92917705,,4122,290,.571345357694056
y2022,inv_grant_cited_appyear,province_year_fe,ln1p_new_applicants,-.0325278370958114,.034353558,-.94685495,.3445037,,4122,290,2.495073533912658
y2022,inv_grant_cited_appyear,provyr_baseyr_fe,ln1p_new_applicants,.0750158305974469,.049871035,1.5041964,.13362283,,4122,290,2.495073533912658
y2022,inv_grant_cited_appyear,province_year_fe,ln1p_new_patents,-.0487812746710992,.03722775,-1.3103472,.19111888,,4122,290,2.603697305283314
y2022,inv_grant_cited_appyear,provyr_baseyr_fe,ln1p_new_patents,.0788098586884035,.053876717,1.4627814,.14461386,,4122,290,2.603697305283314
y2022,inv_grant_cited_appyear,province_year_fe,ln1p_total_patents,-.0854364890108365,.03846905,-2.2209148,.027131846,**,4122,290,3.223996890217218
y2022,inv_grant_cited_appyear,provyr_baseyr_fe,ln1p_total_patents,.0485489241907831,.053489342,.9076373,.36482608,,4122,290,3.223996890217218
y2022,inv_grant_cited_appyear,province_year_fe,ln1p_incumbent_patents,-.1532903306662398,.05108472,-3.0007081,.0029284211,***,4122,290,2.416620500337675
y2022,inv_grant_cited_appyear,provyr_baseyr_fe,ln1p_incumbent_patents,.0668301958135976,.064918593,1.0294461,.30413088,,4122,290,2.416620500337675
y2022,inv_grant_cited_appyear,province_year_fe,hhi,-.022871019680918,.01115918,-2.0495253,.041313265,**,4122,290,.2115279630736394
y2022,inv_grant_cited_appyear,provyr_baseyr_fe,hhi,-.0171513286798296,.01193649,-1.436882,.15183324,,4122,290,.2115279630736394
y2022,inv_grant_cited_appyear,province_year_fe,top10_share,-.0142539509114205,.010037773,-1.4200312,.15667644,,4122,290,.7584276107727914
y2022,inv_grant_cited_appyear,provyr_baseyr_fe,top10_share,-.0322203143441602,.014318478,-2.2502611,.025184423,**,4122,290,.7584276107727914
y2023,inv_grant_cited_appyear,province_year_fe,new_applicant_share,.0303208968818071,.013407127,2.2615507,.024468293,**,4343,290,.5741366869970498
