block,variant,applicant_sample,event_term,outcome,coef,se,t,p,sig,N,N_city
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_p4,ln1p_city_new_patents_field,0.4043126750867892,0.09167738764926725,4.4101679318522855,1.0329048620462666e-05,***,4647,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_m4,city_new_share_total_field,-0.01141114832111779,0.036098620098977394,-0.316110374574707,0.7519187324315169,,3889,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_m3,city_new_share_total_field,0.027776876516053248,0.03953092521630943,0.702661937813518,0.4822664531627485,,3889,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_m2,city_new_share_total_field,0.0045202972117850525,0.038089497525997086,0.11867568504152176,0.9055323009129754,,3889,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_0,city_new_share_total_field,0.056377209591861974,0.03655628391199005,1.5422029691965184,0.12302427878814777,,3889,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_p1,city_new_share_total_field,0.00309095174550242,0.037892809008664305,0.08157093196220065,0.934987917174748,,3889,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_p2,city_new_share_total_field,0.0070827342180990426,0.03415482160408329,0.20737143060505064,0.8357197927167996,,3889,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_p3,city_new_share_total_field,0.04096007832187728,0.0394124035820769,1.0392687225121229,0.2986797769982692,,3889,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_p4,city_new_share_total_field,0.03512327612043646,0.031248025157242267,1.1240158680010548,0.2610062943219523,,3889,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_m4,field_new_share_total_field,-0.002989498181830098,0.04099842944137332,-0.07291738299646336,0.9418718611350014,,3889,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_m3,field_new_share_total_field,0.006511328606106797,0.034123842198070735,0.190814638290495,0.8486708197084296,,3889,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_m2,field_new_share_total_field,0.022805329079289352,0.032304652501820894,0.7059456552892467,0.48022193394732016,,3889,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_0,field_new_share_total_field,0.011769795053696337,0.03687465777572199,0.31918384504833247,0.7495871065653943,,3889,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_p1,field_new_share_total_field,-0.004243642759461638,0.038736598504098003,-0.1095512492923894,0.9127652752781411,,3889,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_p2,field_new_share_total_field,-0.021277509679382897,0.03285555692269514,-0.6476076399936278,0.5172387545939797,,3889,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_p3,field_new_share_total_field,0.020504126861261716,0.03693882167847752,0.5550834035728998,0.5788376140916242,,3889,291
event_ddd_scope_ge_2,g06_g16_g10l,all,ev_p4,field_new_share_total_field,0.0021795395157866524,0.03169873718985988,0.06875792883269387,0.9451823067207497,,3889,291
event_ddd_scope_ge_2,g06_only,all,ev_m4,ln1p_city_new_applicants_field,-0.545413094953688,0.08432984060563717,-6.467616813178571,9.956057261865677e-11,***,4647,291
event_ddd_scope_ge_2,g06_only,all,ev_m3,ln1p_city_new_applicants_field,-0.13355642036974252,0.08760804146675225,-1.524476727634962,0.12738966605793484,,4647,291
event_ddd_scope_ge_2,g06_only,all,ev_m2,ln1p_city_new_applicants_field,-0.13162954079629,0.06993516189328358,-1.8821653833753604,0.05981356414031048,*,4647,291
event_ddd_scope_ge_2,g06_only,all,ev_0,ln1p_city_new_applicants_field,-0.05529905828635691,0.07239234476797997,-0.7638799166347264,0.44493880664006447,,4647,291
event_ddd_scope_ge_2,g06_only,all,ev_p1,ln1p_city_new_applicants_field,-0.030541962398779647,0.07867589015139743,-0.38819976920511734,0.6978682039510435,,4647,291
event_ddd_scope_ge_2,g06_only,all,ev_p2,ln1p_city_new_applicants_field,-0.04958070641197095,0.08361359793741104,-0.5929742007883048,0.5531984181945757,,4647,291
event_ddd_scope_ge_2,g06_only,all,ev_p3,ln1p_city_new_applicants_field,0.12139383474524135,0.08139071428864651,1.4914948935664398,0.13583161088690954,,4647,291
event_ddd_scope_ge_2,g06_only,all,ev_p4,ln1p_city_new_applicants_field,0.2965391740569435,0.07638175287682426,3.8823300446528424,0.00010346032376453534,***,4647,291
event_ddd_scope_ge_2,g06_only,all,ev_m4,ln1p_city_new_patents_field,-0.5813220294805876,0.10122271961189591,-5.742999513443911,9.301399430226048e-09,***,4647,291
event_ddd_scope_ge_2,g06_only,all,ev_m3,ln1p_city_new_patents_field,-0.07339854765542442,0.11143036429480052,-0.6586943165800032,0.5100920833331251,,4647,291
event_ddd_scope_ge_2,g06_only,all,ev_m2,ln1p_city_new_patents_field,-0.06778776277222553,0.08863480945228741,-0.7647984261614061,0.444391585102635,,4647,291
event_ddd_scope_ge_2,g06_only,all,ev_0,ln1p_city_new_patents_field,-0.004069804776947919,0.08842028023375591,-0.04602795609998761,0.9632879677717678,,4647,291
event_ddd_scope_ge_2,g06_only,all,ev_p1,ln1p_city_new_patents_field,-0.05154613480670677,0.09201663486049877,-0.560182785263262,0.575354767790929,,4647,291
event_ddd_scope_ge_2,g06_only,all,ev_p2,ln1p_city_new_patents_field,-0.023546619510953153,0.10094926259764453,-0.23325202091671912,0.8155657128154886,,4647,291
event_ddd_scope_ge_2,g06_only,all,ev_p3,ln1p_city_new_patents_field,0.17182042166392242,0.10566704946194634,1.6260548821872778,0.10393798076848149,,4647,291
