block,variant,applicant_sample,spec,outcome,coef,se,stat,p,sig,N,N_city,mean_y,converged
ddd_rescue,broad,no_individual_no_oneshot,ols_rate_share_policy_x_high,field_new_applicant_rate_active,-.0118725490628641,.020208782,-.58749455,.55733037,,7348,290,.5085811,1
ddd_rescue,broad,no_individual_no_oneshot,ols_rate_share,city_new_share_total_field,.0080612129853344,.014865725,.5422684,.5880515,,7348,290,.29353359,1
ddd_rescue,broad,no_individual_no_oneshot,ols_rate_share_policy_x_high,city_new_share_total_field,.0032711388607549,.01814512,.18027651,.85706186,,7348,290,.29353359,1
ddd_rescue,broad,no_individual_no_oneshot,ols_rate_share,field_new_share_total_field,.0520633315176822,.018690286,2.7855823,.005696394,***,7348,290,.37285528,1
ddd_rescue,broad,no_individual_no_oneshot,ols_rate_share_policy_x_high,field_new_share_total_field,.0193562274242691,.023921808,.80914563,.41909701,,7348,290,.37285528,1
ddd_rescue,broad,no_individual_no_oneshot,ols_any_entry,any_city_new_applicants,-.107144665301884,.026749043,-4.0055513,.000078688419,***,9294,291,.80740261,1
ddd_rescue,broad,no_individual_no_oneshot,ols_any_entry,any_city_new_patents,-.107144665301884,.026749043,-4.0055513,.000078688419,***,9294,291,.80740261,1
ddd_rescue,broad,no_individual_no_oneshot,ols_any_entry,any_field_new_applicants,-.1322758615212701,.02343699,-5.6438928,3.9559634e-08,***,9294,291,.85700452,1
ddd_rescue,broad,no_individual_no_oneshot,ols_any_entry,any_field_new_patents,-.1322758615212701,.02343699,-5.6438928,3.9559634e-08,***,9294,291,.85700452,1
ddd_rescue,no_h04,all,ppml_offset_total,city_new_applicants_field,-.0018912929605638,.040086031,-.04718085,.96236908,,8028,291,154.43608,1
ddd_rescue,no_h04,all,ppml_offset_total_policy_x_high,city_new_applicants_field,.0857623207622409,.045010429,1.9053878,.056729682,*,8028,291,154.43608,1
ddd_rescue,no_h04,all,ppml_offset_active,city_new_applicants_field,-.0148624583300487,.010524239,-1.4122121,.15788752,,8028,291,154.43608,1
ddd_rescue,no_h04,all,ppml_offset_active_policy_x_high,city_new_applicants_field,-.0141124726331139,.013659367,-1.0331718,.30152351,,8028,291,154.43608,1
ddd_rescue,no_h04,all,ppml_offset_total,city_new_patents_field,.0044878576860225,.041511394,.10811147,.91390729,,8028,291,395.24875,1
ddd_rescue,no_h04,all,ppml_offset_total_policy_x_high,city_new_patents_field,.0270651846202702,.057607736,.46981856,.63848466,,8028,291,395.24875,1
ddd_rescue,no_h04,all,ppml_offset_active,city_new_patents_field,-.0490846273732226,.045083843,-1.0887409,.27626812,,8028,291,395.24875,1
ddd_rescue,no_h04,all,ppml_offset_active_policy_x_high,city_new_patents_field,-.1047337272012437,.050223608,-2.0853486,.037037674,**,8028,291,395.24875,1
ddd_rescue,no_h04,all,ppml_offset_total,field_new_applicants_field,-.0259441761501979,.040657476,-.63811576,.52339834,,8028,291,162.23015,1
ddd_rescue,no_h04,all,ppml_offset_total_policy_x_high,field_new_applicants_field,.0564173070244131,.043541301,1.2957194,.19507217,,8028,291,162.23015,1
