block,variant,applicant_sample,city_sample,spec,outcome,coef,se,t,p,sig,N,N_city,mean_diff_y,policy_controls
ddd_robustness,broad,no_individual,min20,diff_city_year_fe_policy_x_high,ln1p_city_new_applicants_field,0.15799969079308063,0.04162731706794822,3.79557708547918,0.00014730041625626007,***,4453,291,-2.4047751337985863,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_individual,min20,diff_city_year_fe,ln1p_city_new_patents_field,0.3378207080403381,0.051615558658192444,6.544939487673627,5.951948076243402e-11,***,4453,291,-2.841511029458866,
ddd_robustness,broad,no_individual,min20,diff_city_year_fe_policy_x_high,ln1p_city_new_patents_field,0.13132659660813117,0.05062496471414043,2.5941074201173593,0.009483685109261248,***,4453,291,-2.841511029458866,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_individual,min20,diff_city_year_fe,city_new_share_total_field,0.015722403805501935,0.015069484322235769,1.0433272611925248,0.29679674935655365,,3729,291,-0.04304374704830025,
ddd_robustness,broad,no_individual,min20,diff_city_year_fe_policy_x_high,city_new_share_total_field,0.010350276771323167,0.018729659208591844,0.5526142604119135,0.5805275750024372,,3729,291,-0.04304374704830025,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_individual,min20,diff_city_year_fe,field_new_share_total_field,0.045038081843068414,0.018579462886922093,2.424078786194099,0.015347275517755011,**,3729,291,0.12028510673822158,
ddd_robustness,broad,no_individual,min20,diff_city_year_fe_policy_x_high,field_new_share_total_field,0.016071648189671196,0.023516170601911933,0.6834296476980195,0.49433539118003944,,3729,291,0.12028510673822158,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_individual,min50,diff_city_year_fe,ln1p_city_new_applicants_field,0.25331319328510754,0.03938280347443088,6.432076209342743,1.2587259787623836e-10,***,4157,289,-2.4591265635129025,
ddd_robustness,broad,no_individual,min50,diff_city_year_fe_policy_x_high,ln1p_city_new_applicants_field,0.1247047551314791,0.04043676751491181,3.0839447066457994,0.0020427555759358553,***,4157,289,-2.4591265635129025,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_individual,min50,diff_city_year_fe,ln1p_city_new_patents_field,0.25716816443348905,0.05056452210680301,5.085940768713195,3.6580821337552925e-07,***,4157,289,-2.9016845275232668,
ddd_robustness,broad,no_individual,min50,diff_city_year_fe_policy_x_high,ln1p_city_new_patents_field,0.09054728722211826,0.04953381365911188,1.827989418405337,0.06755113975282145,*,4157,289,-2.9016845275232668,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_individual,min50,diff_city_year_fe,city_new_share_total_field,0.015609878848726708,0.015194359552275098,1.0273469437801603,0.30425712493003415,,3668,288,-0.04285421191092284,
ddd_robustness,broad,no_individual,min50,diff_city_year_fe_policy_x_high,city_new_share_total_field,0.010544368635054336,0.01877748861620673,0.5615430716306524,0.5744273765723259,,3668,288,-0.04285421191092284,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_individual,min50,diff_city_year_fe,field_new_share_total_field,0.048138847708445925,0.018782401565580233,2.5629761742855592,0.010377916991538392,**,3668,288,0.1192718229227576,
ddd_robustness,broad,no_individual,min50,diff_city_year_fe_policy_x_high,field_new_share_total_field,0.018264370058737562,0.023655878459629496,0.7720858935721647,0.44006355652529455,,3668,288,0.1192718229227576,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_oneshot,all,diff_city_year_fe,ln1p_city_new_applicants_field,0.2916814494444075,0.041655770451859045,7.0021859223921785,2.519993523271858e-12,***,4647,291,-2.3350117638260035,
ddd_robustness,broad,no_oneshot,all,diff_city_year_fe_policy_x_high,ln1p_city_new_applicants_field,0.14136572945166825,0.04420164887241621,3.198200362608797,0.0013828816154895622,***,4647,291,-2.3350117638260035,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_oneshot,all,diff_city_year_fe,ln1p_city_new_patents_field,0.36670005218375157,0.055107027581349555,6.654324652920632,2.8460383148919025e-11,***,4647,291,-2.9035454374243357,
ddd_robustness,broad,no_oneshot,all,diff_city_year_fe_policy_x_high,ln1p_city_new_patents_field,0.15080340456941124,0.05738915332510724,2.6277335669184043,0.008595580997597016,***,4647,291,-2.9035454374243357,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_oneshot,all,diff_city_year_fe,city_new_share_total_field,0.02043036242536339,0.014131200687699453,1.445762669208078,0.14824378001225533,,3961,291,-0.047479690082052106,
ddd_robustness,broad,no_oneshot,all,diff_city_year_fe_policy_x_high,city_new_share_total_field,0.021430228843511263,0.01679049750800973,1.2763307837238413,0.20183861260831132,,3961,291,-0.047479690082052106,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_oneshot,all,diff_city_year_fe,field_new_share_total_field,0.03163489376863462,0.016263548992846506,1.9451408657820732,0.05175802663392066,*,3961,291,0.1204481674621842,
ddd_robustness,broad,no_oneshot,all,diff_city_year_fe_policy_x_high,field_new_share_total_field,0.025866166906769225,0.018088409467287733,1.42998570181349,0.15272112282508876,,3961,291,0.1204481674621842,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_oneshot,min20,diff_city_year_fe,ln1p_city_new_applicants_field,0.23847558126656898,0.041894420603031106,5.6922993046313906,1.2533988599981125e-08,***,4453,291,-2.392869970723297,
ddd_robustness,broad,no_oneshot,min20,diff_city_year_fe_policy_x_high,ln1p_city_new_applicants_field,0.11403435407516839,0.042510029241565855,2.6825282435625053,0.00730679816818943,***,4453,291,-2.392869970723297,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_oneshot,min20,diff_city_year_fe,ln1p_city_new_patents_field,0.2931853318705297,0.055669410724896666,5.26654275755447,1.3901687979820713e-07,***,4453,291,-2.9744087395810537,
ddd_robustness,broad,no_oneshot,min20,diff_city_year_fe_policy_x_high,ln1p_city_new_patents_field,0.11311874099312275,0.05499130757772138,2.057029482945965,0.03968338995002532,**,4453,291,-2.9744087395810537,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_oneshot,min20,diff_city_year_fe,city_new_share_total_field,0.0250989401731865,0.013970954169690223,1.7965086613510104,0.07241365645863174,*,3940,291,-0.04709397096718314,
ddd_robustness,broad,no_oneshot,min20,diff_city_year_fe_policy_x_high,city_new_share_total_field,0.024867590415000664,0.01673682119543016,1.4858012835669498,0.137331690552954,,3940,291,-0.04709397096718314,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_oneshot,min20,diff_city_year_fe,field_new_share_total_field,0.03936289032780281,0.01578773510520789,2.493257586695776,0.01265769826843663,**,3940,291,0.12122131932030926,
ddd_robustness,broad,no_oneshot,min20,diff_city_year_fe_policy_x_high,field_new_share_total_field,0.030362774888738068,0.017940713434788966,1.6923950655084536,0.09057067258009356,*,3940,291,0.12122131932030926,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_oneshot,min50,diff_city_year_fe,ln1p_city_new_applicants_field,0.17832703012223208,0.04027431269576935,4.427810636256112,9.519441832358045e-06,***,4157,289,-2.4392340730906468,
ddd_robustness,broad,no_oneshot,min50,diff_city_year_fe_policy_x_high,ln1p_city_new_applicants_field,0.08405636289032606,0.04142133271846539,2.029301265163161,0.042427614536377105,**,4157,289,-2.4392340730906468,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_oneshot,min50,diff_city_year_fe,ln1p_city_new_patents_field,0.21950867645180933,0.05390748954674593,4.071951379992611,4.6620912228104535e-05,***,4157,289,-3.025760233175946,
