eventdef,spec,outcome,event,coef,se,t,p,sig,preF,prep,N,N_city,N_treated_city,mean_y
scope_ge_2,provyr_baseyr_fe,ln1p_new_applicants,es_m4,-.090724415782324,.047868885,-1.895269,.059109211,*,1.203447797336418,.30886242,4391,275,66,4.477666743832106
scope_ge_2,provyr_baseyr_fe,ln1p_new_applicants,es_m3,-.0812593548559805,.053409766,-1.5214324,.12930451,,1.203447797336418,.30886242,4391,275,66,4.477666743832106
scope_ge_2,provyr_baseyr_fe,ln1p_new_applicants,es_m2,-.0742370893542705,.050974466,-1.4563583,.14643849,,1.203447797336418,.30886242,4391,275,66,4.477666743832106
scope_ge_2,provyr_baseyr_fe,ln1p_new_applicants,es_0,-.01033423301261,.04129377,-.25026131,.80257285,,1.203447797336418,.30886242,4391,275,66,4.477666743832106
scope_ge_2,provyr_baseyr_fe,ln1p_new_applicants,es_p1,.0232080460187729,.047754925,.48598224,.62736815,,1.203447797336418,.30886242,4391,275,66,4.477666743832106
scope_ge_2,provyr_baseyr_fe,ln1p_new_applicants,es_p2,.0163752501631273,.048052706,.34077686,.73353273,,1.203447797336418,.30886242,4391,275,66,4.477666743832106
scope_ge_2,provyr_baseyr_fe,ln1p_new_applicants,es_p3,-.02645204608137,.050257061,-.52633494,.59908128,,1.203447797336418,.30886242,4391,275,66,4.477666743832106
scope_ge_2,provyr_baseyr_fe,ln1p_new_applicants,es_p4,.0203811112731966,.042647425,.47789779,.63310397,,1.203447797336418,.30886242,4391,275,66,4.477666743832106
scope_ge_2,province_year_fe,new_applicant_share,es_m4,-.0253618742380598,.014630451,-1.7334992,.084131919,*,1.332856520859212,.26396951,4391,275,66,.4446461787303855
scope_ge_2,province_year_fe,new_applicant_share,es_m3,-.0240698807374671,.016177971,-1.4878182,.13794877,,1.332856520859212,.26396951,4391,275,66,.4446461787303855
