spec,sample,outcome,y_version,xvar,coef,se,t,p,n,firms,clusters,r2
controls,2012_2022,企业创新韧性4,raw,ln1p_idc_new,.0195886399020567,.0081683407,2.3981173,.017134311,28376,4458,281,.21993832
nocontrol_full,2008_2024,企业创新韧性4,raw,ln1p_idc_new,.0259043169789875,.0083408449,3.1057186,.0020915039,41903,5270,283,.55134952
nocontrol_ctrlsample,2008_2024,企业创新韧性4,raw,ln1p_idc_new,.0259181895307257,.0084034912,3.0842171,.0022440786,41266,5030,282,.54391044
controls,2008_2024,企业创新韧性4,raw,ln1p_idc_new,.0252323395367192,.0082002133,3.0770345,.0022970305,41266,5030,282,.54412854
nocontrol_full,2012_2022,企业创新韧性4,raw,ln1p_idc_new_l1,.0209356654856449,.0083308714,2.5130224,.012532076,28598,4600,281,.22127183
nocontrol_ctrlsample,2012_2022,企业创新韧性4,raw,ln1p_idc_new_l1,.0204411985620675,.0083194254,2.4570446,.014615224,28376,4458,281,.21971472
controls,2012_2022,企业创新韧性4,raw,ln1p_idc_new_l1,.020471985260025,.0082837967,2.4713287,.014056368,28376,4458,281,.21999608
nocontrol_full,2008_2024,企业创新韧性4,raw,ln1p_idc_new_l1,.0173510084195357,.0051776147,3.3511589,.00091458112,41903,5270,283,.5512349
nocontrol_ctrlsample,2008_2024,企业创新韧性4,raw,ln1p_idc_new_l1,.0179956588185127,.0051986864,3.4615781,.00062055269,41266,5030,282,.54380131
controls,2008_2024,企业创新韧性4,raw,ln1p_idc_new_l1,.0171617415796758,.005174899,3.3163431,.0010320083,41266,5030,282,.54402101
nocontrol_full,2012_2022,企业创新韧性4,winsor,ln1p_idc_stock,.0132365626690851,.011009941,1.2022374,.2302873,28598,4600,281,.23720978
nocontrol_ctrlsample,2012_2022,企业创新韧性4,winsor,ln1p_idc_stock,.0132137844425886,.010987256,1.2026465,.23012917,28376,4458,281,.23563537
controls,2012_2022,企业创新韧性4,winsor,ln1p_idc_stock,.0125537379567237,.010862998,1.1556422,.24881272,28376,4458,281,.23597364
