block,variant,applicant_sample,spec,outcome,coef,se,z,p,sig,N,N_city,mean_y,converged
ppml_ddd,g06_g16_g10l,all,ppml_hdfe,city_new_applicants_field,-.1279984151173178,.034566339,-3.7029788,.00021308275,***,9278,291,153.28029,1
ppml_ddd,g06_g16_g10l,all,ppml_hdfe_policy_x_high,city_new_applicants_field,-.0445330859597345,.044236228,-1.0067108,.31407377,,9278,291,153.28029,1
ppml_ddd,g06_g16_g10l,all,ppml_hdfe,city_new_patents_field,-.1394092117490179,.057006985,-2.4454761,.01446611,**,9278,291,395.24875,1
ppml_ddd,g06_g16_g10l,all,ppml_hdfe_policy_x_high,city_new_patents_field,-.13765769843258,.066196427,-2.0795338,.03756832,**,9278,291,395.24875,1
ppml_ddd,g06_g16_g10l,all,ppml_hdfe,field_new_applicants_field,-.1652423089384804,.032933462,-5.0174589,5.2359343e-07,***,9278,291,159.94437,1
ppml_ddd,g06_g16_g10l,all,ppml_hdfe_policy_x_high,field_new_applicants_field,-.0867835089028217,.04132434,-2.1000581,.035723735,**,9278,291,159.94437,1
ppml_ddd,g06_g16_g10l,all,ppml_hdfe,field_new_patents_field,-.1758143215135288,.0535862,-3.2809627,.0010345345,***,9278,291,409.38348,1
ppml_ddd,g06_g16_g10l,all,ppml_hdfe_policy_x_high,field_new_patents_field,-.1561146082433932,.057587311,-2.7109201,.0067096776,***,9278,291,409.38348,1
ppml_ddd,g06_g16_g10l,no_individual,ppml_hdfe,city_new_applicants_field,-.1853480503556756,.040277347,-4.6017938,4.1886765e-06,***,9150,289,98.600815,1
ppml_ddd,g06_g16_g10l,no_individual,ppml_hdfe_policy_x_high,city_new_applicants_field,-.1100288906951333,.049109548,-2.2404785,.025059868,**,9150,289,98.600815,1
ppml_ddd,g06_g16_g10l,no_individual,ppml_hdfe,city_new_patents_field,-.2072864122762628,.073496506,-2.8203573,.00479702,***,9150,289,283.31268,1
ppml_ddd,g06_g16_g10l,no_individual,ppml_hdfe_policy_x_high,city_new_patents_field,-.2231949350253211,.072710998,-3.0696175,.0021433316,***,9150,289,283.31268,1
