table,sample,spec,outcome,xvar,coef,se,t,p,N,N_city,mean_y,controls
org_only_1985_warmup,all,provyr_baseyr_fe,org_top10_share,ln1p_idc_scope_stock_l1,0.01204055099812097,0.014365022105605042,0.8381853442065297,0.4019266168559103,4647,291,0.5700936971892645,
idc_feature_x,all,provyr_baseyr_fe,new_applicant_share,ln1p_idc_scope_cloud_stock_l1,0.03195935860265908,0.011183092435455391,2.8578283499950032,0.004265510641901402,4647,291,0.42990912931395603,
idc_feature_x,all,provyr_baseyr_fe,ln1p_new_applicants,ln1p_idc_scope_cloud_stock_l1,0.13633224878697967,0.04713054788928224,2.892651473249315,0.003820049326569713,4647,291,4.6096424289578755,
idc_feature_x,all,provyr_baseyr_fe,ln1p_new_patents,ln1p_idc_scope_cloud_stock_l1,0.142472786235211,0.056534910476585945,2.5200851126175645,0.011732646063129445,4647,291,5.275176937570187,
idc_feature_x,all,provyr_baseyr_fe,new_applicant_share,ln1p_idc_scope_noncloud_stock_l1,0.01655008407561398,0.015839552783103717,1.0448580400115965,0.29608858526003545,4647,291,0.42990912931395603,
idc_feature_x,all,provyr_baseyr_fe,ln1p_new_applicants,ln1p_idc_scope_noncloud_stock_l1,0.12483883418095294,0.05739260714601403,2.175172733717205,0.02961717462250269,4647,291,4.6096424289578755,
idc_feature_x,all,provyr_baseyr_fe,ln1p_new_patents,ln1p_idc_scope_noncloud_stock_l1,0.10800921934665227,0.06855172486451801,1.5755871870491365,0.11512097090487391,4647,291,5.275176937570187,
idc_feature_x,all,provyr_baseyr_fe,new_applicant_share,ln1p_idc_scope_cross_stock_l1,0.019502247612109874,0.009524991725961031,2.04748184284036,0.04061079784678532,4647,291,0.42990912931395603,
idc_feature_x,all,provyr_baseyr_fe,ln1p_new_applicants,ln1p_idc_scope_cross_stock_l1,0.0856757110218494,0.037897114084092576,2.260744995825738,0.023775052424269465,4647,291,4.6096424289578755,
idc_feature_x,all,provyr_baseyr_fe,ln1p_new_patents,ln1p_idc_scope_cross_stock_l1,0.09223384972737535,0.04628631600125802,1.9926807250088452,0.04629641933925211,4647,291,5.275176937570187,
idc_feature_x,all,provyr_baseyr_fe,new_applicant_share,ln1p_idc_scope_provlic_stock_l1,0.03363245850106056,0.02294301968698398,1.4659124631332163,0.14267213615855517,4647,291,0.42990912931395603,
idc_feature_x,all,provyr_baseyr_fe,ln1p_new_applicants,ln1p_idc_scope_provlic_stock_l1,0.1799682977610345,0.08662191110623638,2.077630191514877,0.03774343319767412,4647,291,4.6096424289578755,
idc_feature_x,all,provyr_baseyr_fe,ln1p_new_patents,ln1p_idc_scope_provlic_stock_l1,0.14817254514997652,0.10079868232662308,1.4699849415674455,0.14156583239600415,4647,291,5.275176937570187,
idc_feature_x,all,provyr_baseyr_fe,new_applicant_share,ln1p_idc_scope_carrier_stock_l1,0.07885461900891573,0.04394268414613804,1.7944879913724152,0.07273531363659741,4647,291,0.42990912931395603,
idc_feature_x,all,provyr_baseyr_fe,ln1p_new_applicants,ln1p_idc_scope_carrier_stock_l1,0.30845652198315915,0.12005356371834422,2.569324161895137,0.010189708976870606,4647,291,4.6096424289578755,
idc_feature_x,all,provyr_baseyr_fe,ln1p_new_patents,ln1p_idc_scope_carrier_stock_l1,0.4367778457843978,0.18230454904613377,2.395869154498538,0.016581008177310612,4647,291,5.275176937570187,
idc_feature_x,all,provyr_baseyr_fe,new_applicant_share,ln1p_idc_scope_noncarrier_stock_l1,0.02061050799873151,0.01127044826281835,1.8287212290150325,0.06744138055501604,4647,291,0.42990912931395603,
idc_feature_x,all,provyr_baseyr_fe,ln1p_new_applicants,ln1p_idc_scope_noncarrier_stock_l1,0.10770810116915372,0.04483516843351522,2.4023128479793927,0.016291768627957563,4647,291,4.6096424289578755,
idc_feature_x,all,provyr_baseyr_fe,ln1p_new_patents,ln1p_idc_scope_noncarrier_stock_l1,0.09820596427838488,0.0533417944576297,1.8410697517195742,0.06561133768710792,4647,291,5.275176937570187,
quality_appyear_2000_warmup,inv_grant_appyear,province_year_fe,new_applicant_share,ln1p_idc_scope_stock_l1,0.057134550444485524,0.010873400817998216,5.254524449233349,1.4840743117707831e-07,4634,291,0.4173333295889765,
quality_appyear_2000_warmup,inv_grant_appyear,provyr_baseyr_fe,new_applicant_share,ln1p_idc_scope_stock_l1,0.012349643730111581,0.010646974394579598,1.1599204874953786,0.24608118053755415,4634,291,0.4173333295889765,
quality_appyear_2000_warmup,inv_grant_appyear,province_year_fe,ln1p_new_applicants,ln1p_idc_scope_stock_l1,0.03910146585726171,0.031058612909117024,1.2589572487245162,0.20804577391865797,4634,291,3.784776839108692,
quality_appyear_2000_warmup,inv_grant_appyear,provyr_baseyr_fe,ln1p_new_applicants,ln1p_idc_scope_stock_l1,0.09971211045627004,0.04074199623449743,2.447403654017348,0.014388958944243937,4634,291,3.784776839108692,
quality_appyear_2000_warmup,inv_grant_appyear,province_year_fe,ln1p_new_patents,ln1p_idc_scope_stock_l1,0.042950492012374816,0.037214561017695304,1.1541313625049108,0.24844631714087093,4634,291,4.110175834278747,
quality_appyear_2000_warmup,inv_grant_appyear,provyr_baseyr_fe,ln1p_new_patents,ln1p_idc_scope_stock_l1,0.12454007041478753,0.04892555933103989,2.5455012087266105,0.010912098606232616,4634,291,4.110175834278747,
quality_appyear_2000_warmup,inv_grant_appyear,province_year_fe,ln1p_total_patents,ln1p_idc_scope_stock_l1,0.029162037414756772,0.04246587588130511,0.6867169653174366,0.49226110391127426,4634,291,5.123410353231492,
quality_appyear_2000_warmup,inv_grant_appyear,provyr_baseyr_fe,ln1p_total_patents,ln1p_idc_scope_stock_l1,0.10733175644340644,0.05315125993248879,2.0193642931463183,0.043449369949018636,4634,291,5.123410353231492,
quality_appyear_2000_warmup,inv_grant_cited_appyear,province_year_fe,new_applicant_share,ln1p_idc_scope_stock_l1,0.030320896881811527,0.013461654630962189,2.252390045134021,0.024297634263389843,4343,290,0.5741366869970498,
quality_appyear_2000_warmup,inv_grant_cited_appyear,provyr_baseyr_fe,new_applicant_share,ln1p_idc_scope_stock_l1,0.003550745057702403,0.015435783862224332,0.2300333490929519,0.818065855663565,4343,290,0.5741366869970498,
quality_appyear_2000_warmup,inv_grant_cited_appyear,province_year_fe,ln1p_new_applicants,ln1p_idc_scope_stock_l1,-0.03037179511557265,0.03467513442037215,-0.8758955263841393,0.38108683176914704,4343,290,2.4642329189286256,
quality_appyear_2000_warmup,inv_grant_cited_appyear,provyr_baseyr_fe,ln1p_new_applicants,ln1p_idc_scope_stock_l1,0.08976894643352236,0.05038322066157058,1.7817230668223825,0.07479440338169464,4343,290,2.4642329189286256,
quality_appyear_2000_warmup,inv_grant_cited_appyear,province_year_fe,ln1p_new_patents,ln1p_idc_scope_stock_l1,-0.04792056882109814,0.03716269401165513,-1.2894804883109139,0.19723109533959893,4343,290,2.5690943358047056,
quality_appyear_2000_warmup,inv_grant_cited_appyear,provyr_baseyr_fe,ln1p_new_patents,ln1p_idc_scope_stock_l1,0.09273756384005949,0.05395996496257566,1.718636472510283,0.08568058616344766,4343,290,2.5690943358047056,
quality_appyear_2000_warmup,inv_grant_cited_appyear,province_year_fe,ln1p_total_patents,ln1p_idc_scope_stock_l1,-0.09541797494407653,0.03797050207855446,-2.5129500459770875,0.011972628673948806,4343,290,3.179906717082317,
quality_appyear_2000_warmup,inv_grant_cited_appyear,provyr_baseyr_fe,ln1p_total_patents,ln1p_idc_scope_stock_l1,0.06210579520946301,0.05244366116107218,1.1842383585447087,0.23631872184789754,4343,290,3.179906717082317,
quality_appyear_2000_warmup,inv_grant_familycited_appyear,province_year_fe,new_applicant_share,ln1p_idc_scope_stock_l1,0.04822839968327047,0.010752218210217422,4.485437213080448,7.276457202805168e-06,4618,291,0.4314701790356348,
quality_appyear_2000_warmup,inv_grant_familycited_appyear,provyr_baseyr_fe,new_applicant_share,ln1p_idc_scope_stock_l1,0.014453473092736532,0.011068660036688077,1.3058015193193382,0.19162006327048836,4618,291,0.4314701790356348,
quality_appyear_2000_warmup,inv_grant_familycited_appyear,province_year_fe,ln1p_new_applicants,ln1p_idc_scope_stock_l1,0.05489910186586608,0.03178565412343566,1.7271660244169336,0.0841378507443213,4618,291,3.5297416522761726,
quality_appyear_2000_warmup,inv_grant_familycited_appyear,provyr_baseyr_fe,ln1p_new_applicants,ln1p_idc_scope_stock_l1,0.11620469764043592,0.04156369391359718,2.7958221875563525,0.005176787364033855,4618,291,3.5297416522761726,
quality_appyear_2000_warmup,inv_grant_familycited_appyear,province_year_fe,ln1p_new_patents,ln1p_idc_scope_stock_l1,0.05477145330175898,0.03703128512451261,1.4790589394237192,0.13912456300990958,4618,291,3.7978529084900563,
quality_appyear_2000_warmup,inv_grant_familycited_appyear,provyr_baseyr_fe,ln1p_new_patents,ln1p_idc_scope_stock_l1,0.14069843713979024,0.048214556243056275,2.9181734335686897,0.003520884589154714,4618,291,3.7978529084900563,
quality_appyear_2000_warmup,inv_grant_familycited_appyear,province_year_fe,ln1p_total_patents,ln1p_idc_scope_stock_l1,0.06385863112773216,0.04418309692828887,1.445318132211908,0.14836854706414104,4618,291,4.768713744942912,
quality_appyear_2000_warmup,inv_grant_familycited_appyear,provyr_baseyr_fe,ln1p_total_patents,ln1p_idc_scope_stock_l1,0.12740892941619247,0.0543938979568535,2.3423386483030906,0.01916331802087851,4618,291,4.768713744942912,
quality_appyear_2000_warmup,inv_grant_grantyear,province_year_fe,new_applicant_share,ln1p_idc_scope_stock_l1,0.0519036621342876,0.012256495798461865,4.234788065672186,2.287673569685529e-05,4629,291,0.45443226594425934,
quality_appyear_2000_warmup,inv_grant_grantyear,provyr_baseyr_fe,new_applicant_share,ln1p_idc_scope_stock_l1,0.019369627796441344,0.013203480930818115,1.4670091847696682,0.14237355681377148,4629,291,0.45443226594425934,
quality_appyear_2000_warmup,inv_grant_grantyear,province_year_fe,ln1p_new_applicants,ln1p_idc_scope_stock_l1,0.007429916751011172,0.033230202291560915,0.2235892723679886,0.8230769117693343,4629,291,3.629536225532878,
quality_appyear_2000_warmup,inv_grant_grantyear,provyr_baseyr_fe,ln1p_new_applicants,ln1p_idc_scope_stock_l1,0.05608822509432792,0.04071576533336558,1.3775554661713552,0.16834057863600702,4629,291,3.629536225532878,
quality_appyear_2000_warmup,inv_grant_grantyear,province_year_fe,ln1p_new_patents,ln1p_idc_scope_stock_l1,0.02620618631776745,0.03892792508777568,0.6731976147887943,0.500821578457764,4629,291,3.8903241461508453,
quality_appyear_2000_warmup,inv_grant_grantyear,provyr_baseyr_fe,ln1p_new_patents,ln1p_idc_scope_stock_l1,0.08299415764922906,0.045810401056482326,1.8116880825142898,0.07003440609203766,4629,291,3.8903241461508453,
quality_appyear_2000_warmup,inv_grant_grantyear,province_year_fe,ln1p_total_patents,ln1p_idc_scope_stock_l1,0.0377083559382711,0.04659986152013252,0.8091945921766307,0.41840322503451693,4629,291,4.805376945974034,
quality_appyear_2000_warmup,inv_grant_grantyear,provyr_baseyr_fe,ln1p_total_patents,ln1p_idc_scope_stock_l1,0.06619247761237584,0.05504369894960683,1.202544139938267,0.2291527752548569,4629,291,4.805376945974034,
