license_no,license_year,company,city,source,idc_scope_raw,registered_address
B1-20172469,2017,北京盈骏科技有限公司,沈阳,scope_city,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,北京市东城区藏经馆胡同17号1幢一层1355号
B1-20172469,2017,北京盈骏科技有限公司,石家庄,scope_city,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,北京市东城区藏经馆胡同17号1幢一层1355号
B1-20172469,2017,北京盈骏科技有限公司,福州,scope_city,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,北京市东城区藏经馆胡同17号1幢一层1355号
B1-20172469,2017,北京盈骏科技有限公司,西安,scope_city,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,北京市东城区藏经馆胡同17号1幢一层1355号
B1-20172469,2017,北京盈骏科技有限公司,长春,scope_city,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,北京市东城区藏经馆胡同17号1幢一层1355号
B1-20172469,2017,北京盈骏科技有限公司,长沙,scope_city,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,北京市东城区藏经馆胡同17号1幢一层1355号
B1.B2-20150198,2015,厦门市中资源网络服务有限公司,北京,scope_city,厦门市;广州市;北京市,厦门市软件园望海路45号301单元之一
B1.B2-20150198,2015,厦门市中资源网络服务有限公司,厦门,scope_city,厦门市;广州市;北京市,厦门市软件园望海路45号301单元之一
B1.B2-20150198,2015,厦门市中资源网络服务有限公司,广州,scope_city,厦门市;广州市;北京市,厦门市软件园望海路45号301单元之一
京B1.B2-20140063,2014,北京信威亚辰网络信息服务有限公司,北京,scope_city,北京市,北京市海淀区东北旺西路8号7号楼1层101-1400室
浙B1.B2-20160734,2016,浙江嘉合网络科技有限公司,嘉兴,scope_city,嘉兴市,嘉兴市昌盛南路36号19幢智慧大厦A座405室
川B2-20080058,2008,成都西维数码科技有限公司,成都,scope_city,成都市,成都市青羊区王家塘巷8号一层
B1-20172862,2017,上海忠恕物联网科技有限公司,上海,scope_city,北京市;上海市;广州市,宝山区呼玛路547号5018室
B1-20172862,2017,上海忠恕物联网科技有限公司,北京,scope_city,北京市;上海市;广州市,宝山区呼玛路547号5018室
B1-20172862,2017,上海忠恕物联网科技有限公司,广州,scope_city,北京市;上海市;广州市,宝山区呼玛路547号5018室
B1-20171493,2017,东网科技有限公司,呼和浩特,scope_city,呼和浩特市;沈阳市,沈阳市东陵区创新路155-4号304室
B1-20171493,2017,东网科技有限公司,沈阳,scope_city,呼和浩特市;沈阳市,沈阳市东陵区创新路155-4号304室
京B1-20150079,2015,北京九云无限网络科技有限公司,北京,scope_city,北京市,北京市海淀区阜外亮甲店1号恩济西园10号楼三层西三门331
A2.B1-20130270,2013,北京万国长安科技有限公司,上海,scope_city,苏州市;成都市;深圳市;上海市;广州市;北京市,北京市北京经济技术开发区地盛北街1号院36号楼211室
A2.B1-20130270,2013,北京万国长安科技有限公司,北京,scope_city,苏州市;成都市;深圳市;上海市;广州市;北京市,北京市北京经济技术开发区地盛北街1号院36号楼211室
A2.B1-20130270,2013,北京万国长安科技有限公司,广州,scope_city,苏州市;成都市;深圳市;上海市;广州市;北京市,北京市北京经济技术开发区地盛北街1号院36号楼211室
A2.B1-20130270,2013,北京万国长安科技有限公司,成都,scope_city,苏州市;成都市;深圳市;上海市;广州市;北京市,北京市北京经济技术开发区地盛北街1号院36号楼211室
A2.B1-20130270,2013,北京万国长安科技有限公司,深圳,scope_city,苏州市;成都市;深圳市;上海市;广州市;北京市,北京市北京经济技术开发区地盛北街1号院36号楼211室
A2.B1-20130270,2013,北京万国长安科技有限公司,苏州,scope_city,苏州市;成都市;深圳市;上海市;广州市;北京市,北京市北京经济技术开发区地盛北街1号院36号楼211室
B1.B2-20160108,2016,北京北天信通网络技术有限公司,北京,scope_city,天津市;北京市,北京市海淀区上庄镇上庄路115号院二层148号
B1.B2-20160108,2016,北京北天信通网络技术有限公司,天津,scope_city,天津市;北京市,北京市海淀区上庄镇上庄路115号院二层148号
浙B1.B2-20170621,2017,杭州意拓数字科技有限公司,宁波,scope_city,宁波市,杭州市西湖区文三路199号13幢601室
B1-20160909,2016,武汉世捷通网络信息技术有限公司,北京,scope_city,荆州市;北京市,武汉东湖新技术开发区东至红桃K工业P(2014)104号地块二期8幢8号楼-A单元20层2办公号
B1-20160909,2016,武汉世捷通网络信息技术有限公司,荆州,scope_city,荆州市;北京市,武汉东湖新技术开发区东至红桃K工业P(2014)104号地块二期8幢8号楼-A单元20层2办公号
渝B1.B2-20140022,2014,重庆网丛网络科技有限公司,重庆,scope_city,重庆市,重庆市北部新区高新园黄山大道中段5号B2-2-7号
湘B1-20170062,2017,长沙翼创信息技术有限公司,衡阳,scope_city,长沙市;衡阳市,长沙高新开发区麓谷大道627号B-3栋加速器生产车间202-8
湘B1-20170062,2017,长沙翼创信息技术有限公司,长沙,scope_city,长沙市;衡阳市,长沙高新开发区麓谷大道627号B-3栋加速器生产车间202-8
陕B2-20090102,2009,西安天互通信有限公司,西安,scope_city,西安市,西安市高新区高新六路42号中清大厦二楼南区
B1.B2-20090064,2009,方正宽带网络服务有限公司,北京,scope_city,天津市;北京市,北京市海淀区北四环西路52号8层802房间
B1.B2-20090064,2009,方正宽带网络服务有限公司,天津,scope_city,天津市;北京市,北京市海淀区北四环西路52号8层802房间
京B2-20150033,2015,北京互联畅达通信技术有限公司,北京,scope_city,北京市,北京市通州区金海街34号215室
辽B1.B2-20110012,2011,大连奇云网络有限公司,大连,scope_city,大连市,辽宁省大连高新技术产业园区黄浦路541号1107-1108室
A2.B1-20170249,2017,北京九云无限网络科技有限公司,北京,scope_city,石家庄市;济南市;广州市;北京市;西安市,北京市海淀区阜外亮甲店1号恩济西园10号楼三层西三门331
A2.B1-20170249,2017,北京九云无限网络科技有限公司,广州,scope_city,石家庄市;济南市;广州市;北京市;西安市,北京市海淀区阜外亮甲店1号恩济西园10号楼三层西三门331
A2.B1-20170249,2017,北京九云无限网络科技有限公司,济南,scope_city,石家庄市;济南市;广州市;北京市;西安市,北京市海淀区阜外亮甲店1号恩济西园10号楼三层西三门331
A2.B1-20170249,2017,北京九云无限网络科技有限公司,石家庄,scope_city,石家庄市;济南市;广州市;北京市;西安市,北京市海淀区阜外亮甲店1号恩济西园10号楼三层西三门331
A2.B1-20170249,2017,北京九云无限网络科技有限公司,西安,scope_city,石家庄市;济南市;广州市;北京市;西安市,北京市海淀区阜外亮甲店1号恩济西园10号楼三层西三门331
B1-20171503,2017,江苏圣旺科技有限公司,泰州,scope_city,泰州市;福州市,泰州市姜堰区罗塘街道南环西路997号
B1-20171503,2017,江苏圣旺科技有限公司,福州,scope_city,泰州市;福州市,泰州市姜堰区罗塘街道南环西路997号
京B2-20060018,2006,北京博大网通科技发展有限公司,北京,scope_city,北京市,北京市北京经济技术开发区荣昌东街甲5号1号楼5层501-4号
A2.B1.B2-20150197,2015,北京丰科瑞智信息技术有限公司,北京,scope_city,石家庄市;北京市 在线数据处理与交易处理业务,北京市丰台区南四环西路188号十八区25号楼106室(园区)
A2.B1.B2-20150197,2015,北京丰科瑞智信息技术有限公司,石家庄,scope_city,石家庄市;北京市 在线数据处理与交易处理业务,北京市丰台区南四环西路188号十八区25号楼106室(园区)
赣B2-20090067,2009,南昌首页科技发展有限公司,新余,scope_city,新余市,江西省南昌市西湖区银环路298号万豪城2#写字楼一单元6层608室
B1.B2-20120063,2012,辽宁三技科技有限公司,北京,scope_city,阜新市;北京市,阜新市细河区中华路东段1号
B1.B2-20120063,2012,辽宁三技科技有限公司,阜新,scope_city,阜新市;北京市,阜新市细河区中华路东段1号
湘B1.B2-20150112,2015,湖南伊甸科技有限公司,株洲,scope_city,株洲市,湖南省湘潭市高新区湘潭大道281号万达广场B座写字楼26楼26214-26217室
B1-20172721,2017,东莞市诺盛信息科技有限公司,东莞,scope_city,北京市;东莞市,东莞市东城街道主山东城中路南163号东莞市新基地360互联网产业园B栋212
B1-20172721,2017,东莞市诺盛信息科技有限公司,北京,scope_city,北京市;东莞市,东莞市东城街道主山东城中路南163号东莞市新基地360互联网产业园B栋212
B1.B2-20140418,2014,中云基数据服务（北京）有限公司,上海,scope_city,北京市;上海市,北京市顺义区龙湾屯镇府前街13号
B1.B2-20140418,2014,中云基数据服务（北京）有限公司,北京,scope_city,北京市;上海市,北京市顺义区龙湾屯镇府前街13号
B1-20150196,2015,武汉新软科技有限公司,武汉,scope_city,武汉市;沈阳市,武汉市江岸区二七路与建设大道交汇处利腾国际第1【幢】/单元16层1号房
B1-20150196,2015,武汉新软科技有限公司,沈阳,scope_city,武汉市;沈阳市,武汉市江岸区二七路与建设大道交汇处利腾国际第1【幢】/单元16层1号房
闽A2.B1.B2-20040230,2004,福建光通互联通信有限公司,厦门,scope_city,福建省 语音信箱业务：福建省 X.400电子邮件业务：福建省 用户驻地网业务：厦门市,福州市仓山区白湖亭仓山科技园6区160号
B1-20160439,2016,深圳市格畅通信有限公司,扬州,scope_city,潮州市;扬州市,深圳市南山区南头街道桃园路田厦国际中心B座2225
B1-20160439,2016,深圳市格畅通信有限公司,潮州,scope_city,潮州市;扬州市,深圳市南山区南头街道桃园路田厦国际中心B座2225
粤B1-20170342,2017,深圳市数港科技有限公司,深圳,scope_city,深圳市,深圳市龙岗区坂田街道吉华路466号新天下华赛工业厂区1号厂房4楼坂田数据中心404室
豫B1.B2-20170447,2017,脸盟(三门峡)移动网络科技有限公司,郑州,scope_city,郑州市,
渝B1.B2-20140049,2014,重庆首页科技发展有限公司,重庆,scope_city,重庆市,重庆市渝中区大坪正街19号2单元31-2#
B1.B2-20172760,2017,北京神洲天才科技发展有限公司,上海,scope_city,北京市;上海市;泰安市,北京市丰台区南四环西路188号十八区25号楼1至15层101内11层1109室(园区)
B1.B2-20172760,2017,北京神洲天才科技发展有限公司,北京,scope_city,北京市;上海市;泰安市,北京市丰台区南四环西路188号十八区25号楼1至15层101内11层1109室(园区)
B1.B2-20172760,2017,北京神洲天才科技发展有限公司,泰安,scope_city,北京市;上海市;泰安市,北京市丰台区南四环西路188号十八区25号楼1至15层101内11层1109室(园区)
合字B1.B2-20130006,2013,国富瑞数据系统有限公司,上海,scope_city,北京市;上海市,北京市通州区中关村科技园区光机电一体化产业基地嘉创一路21号
合字B1.B2-20130006,2013,国富瑞数据系统有限公司,北京,scope_city,北京市;上海市,北京市通州区中关村科技园区光机电一体化产业基地嘉创一路21号
