license_no,license_year,company,city,source,idc_scope_raw,registered_address
B1.B2-20050405,2005,网宿科技股份有限公司,北京,scope_city,北京市;天津市;上海市;南京市;杭州市;广州市;深圳市,上海嘉定环城路200号
B1.B2-20050405,2005,网宿科技股份有限公司,南京,scope_city,北京市;天津市;上海市;南京市;杭州市;广州市;深圳市,上海嘉定环城路200号
B1.B2-20050405,2005,网宿科技股份有限公司,天津,scope_city,北京市;天津市;上海市;南京市;杭州市;广州市;深圳市,上海嘉定环城路200号
B1.B2-20050405,2005,网宿科技股份有限公司,广州,scope_city,北京市;天津市;上海市;南京市;杭州市;广州市;深圳市,上海嘉定环城路200号
B1.B2-20050405,2005,网宿科技股份有限公司,杭州,scope_city,北京市;天津市;上海市;南京市;杭州市;广州市;深圳市,上海嘉定环城路200号
B1.B2-20050405,2005,网宿科技股份有限公司,深圳,scope_city,北京市;天津市;上海市;南京市;杭州市;广州市;深圳市,上海嘉定环城路200号
B1-20243818,2024,广州国鸿通信科技有限公司,广州,registered_fallback,,广州市天河区大观南路12号(部位:219)
京B1-20120130,2012,北京云方舟科技有限公司,北京,registered_fallback,,北京市朝阳区雅宝路8号3号楼14层1401A室
B1-20200963,2020,蓝汛燊荣科技（北京）有限责任公司,北京,registered_fallback,,
B1-20240002,2024,枣庄菜鸟信息咨询有限公司,枣庄,registered_fallback,,枣庄市市中区解放路中坚1878商城3号楼1056
B1-20170629,2017,江苏先农电子商务有限公司,北京,scope_city,南京市;北京市,南京市建邺区泰山路8号
B1-20170629,2017,江苏先农电子商务有限公司,南京,scope_city,南京市;北京市,南京市建邺区泰山路8号
B1-20214453,2021,邢台青云网络服务有限公司,邢台,registered_fallback,,河北省邢台经济开发区沙河城镇刘胡庄村南口正对面
B1-20184624,2018,北京神狐云联数据科技有限公司,北京,registered_fallback,,北京市朝阳区东四环中路41号3层314室
滇B1.B2-20090055,2009,昆明英奈特信息技术有限公司,昆明,registered_fallback,,云南省昆明市盘龙区环城东路223号华洲大酒店四楼
B1-20204030,2020,江苏点创信息科技有限公司,徐州,registered_fallback,,徐州市泉山区徐州软件园路6号徐州软件园C6号楼5层
B1-20203940,2020,易事特网络技术（深圳）有限公司,深圳,registered_fallback,,深圳市南山区海德三道海岸大厦西座1011
B1.B2-20222030,2022,森桓（天津）商贸有限公司,天津,registered_fallback,,天津市河西区龙海公寓21号楼72门101A
辽B1-20160001,2016,沈阳市城域网络工程有限公司,沈阳,registered_fallback,,辽宁省沈阳市法库县双台子乡双台子村
冀B1.B2-20150169,2015,承德北网通信工程有限公司,承德,scope_city,承德市,承德市双桥区下二道河子村碧达园小区3号楼14层1401号办公
B1.B2-20160210,2016,上海万根网络技术有限公司,上海,registered_fallback,,永和路150号2幢122室
B1-20220811,2022,北京欧森仕达科技有限公司,北京,registered_fallback,,北京市朝阳区双桥东路甲10号楼4单元4层409室
津B1.B2-20050060,2005,易泰达科技有限公司,天津,registered_fallback,,天津开发区宏达街19号投资服务中心C座4楼西侧展厅
A2.B1-20193287,2019,北京丰汇云博科技有限公司,北京,registered_fallback,,北京市海淀区西郊北洼路1区195幢3层118
A2.B1-20191403,2019,广州罗捷信息科技有限公司,广州,registered_fallback,,广州市天河区体育东路140-148号1307-5房(本住所限写字楼功能)
B1.B2-20211150,2021,北京龙亦时代科技有限公司,北京,registered_fallback,,北京市昌平区北街家园五区2号楼7层4单元731
A2.B1-20194735,2019,上海市大数据股份有限公司,上海,registered_fallback,,上海市普陀区武威路88弄2号498室
B1-20241152,2024,广西南宁仟询网络科技有限公司,南宁,registered_fallback,,
B1-20170257,2017,上海续连信息科技有限公司,上海,scope_city,上海市;南通市,中国(上海)自由贸易试验区耀华路251号一幢一层
B1-20170257,2017,上海续连信息科技有限公司,南通,scope_city,上海市;南通市,中国(上海)自由贸易试验区耀华路251号一幢一层
B1-20183865,2018,深圳市杭金鲲鹏数据有限公司,深圳,registered_fallback,,深圳市龙岗区园山街道横坪公路87号雅力嘉工业厂区D#厂房一层
B1-20230173,2023,保定森美科技有限公司,保定,registered_fallback,,河北省保定市莲池区南大园乡长城南大街1485号世纪汽车城东北侧
浙B1.B2-20120151,2012,浙江凌快德网络科技有限公司,杭州,registered_fallback,,浙江省杭州市西湖区西溪路628号B座2035室
B1.B2-20236013,2023,深圳市思翊诚科技有限公司,深圳,registered_fallback,,
B1.B2-20234157,2023,广州通伯科技有限公司,广州,registered_fallback,,
B1.B2-20225415,2022,锦锐科技有限公司,郑州,registered_fallback,,郑州市金水区花园路31号19层1907号
京B1-20150092,2015,北京中科光环网络技术有限公司,北京,registered_fallback,,北京市石景山区实兴大街30号院3号楼2层A-0619房间
宁B1-20240011,2024,中国广电宁夏网络有限公司,银川,registered_fallback,,宁夏回族自治区银川市高新区中央大道
B1-20212423,2021,武汉拓研信息技术有限公司,武汉,registered_fallback,,武汉东湖新技术开发区高新二路41号谷方4栋6层C15室
A2.B1-20243851,2024,元智创兴（成都）科技有限公司,成都,registered_fallback,,
沪B1-20140043,2014,上海云盈数据科技有限公司,上海,registered_fallback,,中国(上海)自由贸易试验区桂桥路1201号第九幢北侧
B1-20181807,2018,北京智控美信信息技术有限公司,北京,registered_fallback,,北京市丰台区西四环南路19号211室(园区)
B1-20222078,2022,淮南爱芮信息科技有限公司,唐山,registered_fallback,,安徽省淮南市谢家集区唐山镇产业园三区块办公楼三层一号
B1-20181149,2018,深圳市云网网络科技有限责任公司,深圳,registered_fallback,,深圳市南山区粤海街道科技园中区科苑北路6号科技园大厦6楼613
B1-20242884,2024,北京匠心独运科技有限公司,北京,registered_fallback,,北京市通州区榆西一街1号院4号楼6层602室370号
渝B1.B2-20130016,2013,重庆宽视网络技术开发有限责任公司,重庆,registered_fallback,,重庆市九龙坡区渝州路62号测试楼7层
川B1-20180352,2018,成都浩云华盛网络科技有限公司,成都,registered_fallback,,成都市双流区西南航空港经济开发区西航港大道中4段99号
B1.B2-20194726,2019,盐城睿翼网络技术服务有限公司,盐城,registered_fallback,,盐城市城南新区新都街道人民南路38号新龙广场D1楼928室(CND)
A2.B1-20170040,2017,上海灵旻信息科技有限公司,上海,registered_fallback,,上海市奉贤区奉浦开发区灵芝村942号3幢195室
B1-20195772,2019,吉林市城市信息技术有限公司,吉林,registered_fallback,,吉林省吉林市高新技术产业开发区南山街3999号(办公楼)
A2.B1-20210236,2021,深圳市鑫云数据技术有限公司,深圳,registered_fallback,,深圳市前海深港合作区前湾一路1号A栋201室(入驻深圳市前海商务秘书有限公司)
冀B1-20230089,2023,河北世纪福云通信技术有限公司,石家庄,registered_fallback,,河北省石家庄市桥西区友谊南大街38号百度空间大厦608室
B1.B2-20210876,2021,深圳智算云联技术有限公司,深圳,registered_fallback,,
A2.B1-20170010,2017,上海亚细通数据系统有限公司,上海,registered_fallback,,中国(上海)自由贸易试验区富特北路211号302部位368室
A2.B1-20242253,2024,深圳市致服科技有限公司,深圳,registered_fallback,,深圳市罗湖区清水河街道清水河社区红岗路1008号笋岗中学宿舍3栋504
A2.B1-20201495,2020,辽宁天泽通信工程有限公司,沈阳,registered_fallback,,辽宁省沈阳市法库县十间房乡十间房村
B1-20201145,2020,江西飞速网络科技有限公司,苏州,registered_fallback,,江西省萍乡市萍乡经济技术开发区苏州东街118号电商大厦4层15-1号
