year,city,applicant,patents,scope,applicant_type_rough,rank_city_year
2016,七台河,魏学福,3,inv_app_appyear,likely_individual,4
2016,七台河,国网黑龙江省电力有限公司七台河供电公司,2,inv_app_appyear,firm,5
2016,七台河,王安,2,inv_app_appyear,likely_individual,6
2016,七台河,七台河市富国生物科技有限责任公司,1,inv_app_appyear,firm,7
2016,七台河,勃利县利民药业有限公司,1,inv_app_appyear,firm,8
2016,七台河,大唐七台河发电有限责任公司,1,inv_app_appyear,firm,9
2016,七台河,姚善龙,1,inv_app_appyear,likely_individual,10
2016,七台河,孙明月,1,inv_app_appyear,likely_individual,11
2016,七台河,宝泰隆新材料股份有限公司,1,inv_app_appyear,firm,12
2016,七台河,李金泽,1,inv_app_appyear,likely_individual,13
2016,七台河,李铁超,1,inv_app_appyear,likely_individual,14
2016,七台河,王增瑞,1,inv_app_appyear,likely_individual,15
2016,七台河,王淑红,1,inv_app_appyear,likely_individual,16
2016,七台河,王爰,1,inv_app_appyear,likely_individual,17
2016,七台河,黑龙江金瀛生物科技股份有限公司,1,inv_app_appyear,firm,18
2017,七台河,七台河宝泰隆圣迈煤化工有限责任公司,3,inv_app_appyear,firm,1
2017,七台河,国网黑龙江省电力有限公司七台河供电公司,3,inv_app_appyear,firm,2
2017,七台河,张晓峰,2,inv_app_appyear,likely_individual,3
2017,七台河,黑龙江利健生物有限公司,2,inv_app_appyear,firm,4
2017,七台河,付明龙,1,inv_app_appyear,likely_individual,5
2017,七台河,刘长银,1,inv_app_appyear,likely_individual,6
2017,七台河,大唐七台河发电有限责任公司,1,inv_app_appyear,firm,7
2017,七台河,姜庆有,1,inv_app_appyear,likely_individual,8
2017,七台河,孙长海,1,inv_app_appyear,likely_individual,9
2017,七台河,王振江,1,inv_app_appyear,likely_individual,10
2017,七台河,王洪波,1,inv_app_appyear,likely_individual,11
2017,七台河,许辰光,1,inv_app_appyear,likely_individual,12
2017,七台河,黑龙江中瑯生物科技有限公司,1,inv_app_appyear,firm,13
2017,七台河,黑龙江宝泰隆新能源新材料研究院,1,inv_app_appyear,research_institute,14
2017,七台河,黑龙江联顺生物科技有限公司,1,inv_app_appyear,firm,15
2017,七台河,黑龙江贵国生物质科技开发有限公司,1,inv_app_appyear,firm,16
2017,七台河,黑龙江金正好生物科技有限公司,1,inv_app_appyear,firm,17
2018,七台河,七台河宝泰隆石墨烯新材料有限公司,12,inv_app_appyear,firm,1
2018,七台河,王若云,10,inv_app_appyear,likely_individual,2
2018,七台河,国网黑龙江省电力有限公司七台河供电公司,4,inv_app_appyear,firm,3
2018,七台河,刘滨,2,inv_app_appyear,likely_individual,4
2018,七台河,黄均杰,2,inv_app_appyear,likely_individual,5
2018,七台河,黑龙江联顺生物科技有限公司,2,inv_app_appyear,firm,6
2018,七台河,七台河万锂泰电材有限公司,1,inv_app_appyear,firm,7
2018,七台河,七台河市奥科奇峰节能技术研究所,1,inv_app_appyear,research_institute,8
2018,七台河,七台河市绿源生物科技有限公司,1,inv_app_appyear,firm,9
2018,七台河,七台河滨飞科技开发有限公司,1,inv_app_appyear,firm,10
2018,七台河,何明利,1,inv_app_appyear,likely_individual,11
2018,七台河,刘伟生,1,inv_app_appyear,likely_individual,12
2018,七台河,刘志涛,1,inv_app_appyear,likely_individual,13
2018,七台河,大唐七台河发电有限责任公司,1,inv_app_appyear,firm,14
2018,七台河,孙金良,1,inv_app_appyear,likely_individual,15
2018,七台河,戴久林,1,inv_app_appyear,likely_individual,16
2018,七台河,沈荣骥,1,inv_app_appyear,likely_individual,17
2018,七台河,王振江,1,inv_app_appyear,likely_individual,18
2018,七台河,王晓芳,1,inv_app_appyear,likely_individual,19
2019,七台河,七台河宝泰隆新能源有限公司,17,inv_app_appyear,firm,1
