city,year,applicant_norm,clean_type,patents,applicant,rank_city_year
锡林郭勒盟,2020,锡林郭勒职业学院,univ,5,锡林郭勒职业学院,3
锡林郭勒盟,2020,内蒙古科泰隆达环保科技有限公司,firm,4,内蒙古科泰隆达环保科技有限公司,4
锡林郭勒盟,2020,于善广,individual,3,于善广,5
锡林郭勒盟,2020,内蒙古上都发电有限责任公司,firm,3,内蒙古上都发电有限责任公司,6
锡林郭勒盟,2020,锡林郭勒盟山金阿尔哈达矿业有限公司,firm,3,锡林郭勒盟山金阿尔哈达矿业有限公司,7
锡林郭勒盟,2020,锡林郭勒盟森林消防支队,other,3,锡林郭勒盟森林消防支队,8
锡林郭勒盟,2020,中铁资源苏尼特左旗芒来矿业有限公司,firm,2,中铁资源苏尼特左旗芒来矿业有限公司,9
锡林郭勒盟,2020,京能(锡林郭勒)发电有限公司,firm,2,京能(锡林郭勒)发电有限公司,10
锡林郭勒盟,2020,内蒙古国华园林绿化有限责任公司,firm,2,内蒙古国华园林绿化有限责任公司,11
锡林郭勒盟,2020,内蒙古大唐国际锡林浩特发电有限责任公司,firm,2,内蒙古大唐国际锡林浩特发电有限责任公司,12
锡林郭勒盟,2020,内蒙古电力(集团)有限责任公司锡林郭勒电业局,firm,2,内蒙古电力(集团)有限责任公司锡林郭勒电业局,13
锡林郭勒盟,2020,内蒙古锡牧生命科学有限公司,firm,2,内蒙古锡牧生命科学有限公司,14
锡林郭勒盟,2020,唐晓宇,individual,2,唐晓宇,15
锡林郭勒盟,2020,宋平,individual,2,宋平,16
锡林郭勒盟,2020,斯日古令,individual,2,斯日古令,17
锡林郭勒盟,2020,苏尼特金曦黄金矿业有限责任公司,firm,2,苏尼特金曦黄金矿业有限责任公司,18
锡林郭勒盟,2020,锡林浩特市鼎安生物科技有限公司,firm,2,锡林浩特市鼎安生物科技有限公司,19
锡林郭勒盟,2020,锡林郭勒热电有限责任公司,firm,2,锡林郭勒热电有限责任公司,20
锡林郭勒盟,2021,神华北电胜利能源有限公司,firm,17,神华北电胜利能源有限公司,1
锡林郭勒盟,2021,内蒙古上都发电有限责任公司,firm,6,内蒙古上都发电有限责任公司,2
锡林郭勒盟,2021,锡林郭勒职业学院,univ,6,锡林郭勒职业学院,3
锡林郭勒盟,2021,内蒙古鑫炎新能源科技发展有限公司,firm,5,内蒙古鑫炎新能源科技发展有限公司,4
锡林郭勒盟,2021,刘晓慧,individual,5,刘晓慧,5
锡林郭勒盟,2021,包宇峰,individual,5,包宇峰,6
锡林郭勒盟,2021,胡忠胜,individual,4,胡忠胜,7
锡林郭勒盟,2021,万邦武,individual,3,万邦武,8
锡林郭勒盟,2021,内蒙古兴安铜锌冶炼有限公司,firm,3,内蒙古兴安铜锌冶炼有限公司,9
锡林郭勒盟,2021,刘兵,individual,3,刘兵,10
锡林郭勒盟,2021,李玉亮,individual,3,李玉亮,11
锡林郭勒盟,2021,李玉宝,individual,3,李玉宝,12
锡林郭勒盟,2021,锡林郭勒盟蒙医医院(锡林郭勒盟蒙医研究所、锡林浩特市人民医院),hospital,3,锡林郭勒盟蒙医医院(锡林郭勒盟蒙医研究所、锡林浩特市人民医院),13
锡林郭勒盟,2021,中材科技(锡林郭勒)风电叶片有限公司,firm,2,中材科技(锡林郭勒)风电叶片有限公司,14
锡林郭勒盟,2021,京能(锡林郭勒)发电有限公司,firm,2,京能(锡林郭勒)发电有限公司,15
锡林郭勒盟,2021,内蒙古京能苏尼特风力发电有限公司,firm,2,内蒙古京能苏尼特风力发电有限公司,16
锡林郭勒盟,2021,内蒙古绿色大地农牧业有限公司,firm,2,内蒙古绿色大地农牧业有限公司,17
锡林郭勒盟,2021,娜布其,individual,2,娜布其,18
锡林郭勒盟,2021,张力,individual,2,张力,19
锡林郭勒盟,2021,张淑琴,individual,2,张淑琴,20
