applicant_norm,clean_type,applicant,top_patents,top_rows,city_count,max_city_year_patents
厦门稀土材料研究所,research,厦门稀土材料研究所,296,4,1,86
张永忠,individual,张永忠,294,8,1,65
新乡医学院第一附属医院,hospital,新乡医学院第一附属医院,291,9,1,101
张春平,individual,张春平,290,10,2,73
徐林波,individual,徐林波,290,11,1,72
农业农村部南京农业机械化研究所,research,农业农村部南京农业机械化研究所,288,1,1,288
李承平,individual,李承平,287,1,1,287
中国航发四川燃气涡轮研究院,research,中国航发四川燃气涡轮研究院,283,1,1,283
中国航发贵阳发动机设计研究所,research,中国航发贵阳发动机设计研究所,282,3,1,135
温州医科大学附属第二医院、温州医科大学附属育英儿童医院,hospital,温州医科大学附属第二医院、温州医科大学附属育英儿童医院,279,2,1,179
皖南医学院第一附属医院(皖南医学院弋矶山医院),hospital,皖南医学院第一附属医院(皖南医学院弋矶山医院),279,4,1,80
常州市第一人民医院,hospital,常州市第一人民医院,277,3,1,96
刘刚,individual,刘刚,275,12,10,257
中国航空动力机械研究所,research,中国航空动力机械研究所,275,9,1,77
郑州市沃田配肥站,other,郑州市沃田配肥站,273,3,1,135
潍坊医学院附属医院,hospital,潍坊医学院附属医院,273,4,1,121
丽水市人民医院,hospital,丽水市人民医院,270,8,1,62
张琳,individual,张琳,268,5,1,65
中国人民解放军63653部队,other,中国人民解放军63653部队,266,10,2,60
许盛英,individual,许盛英,265,6,1,137
天津市化学试剂研究所,research,天津市化学试剂研究所,265,4,1,80
侯如升,individual,侯如升,265,6,1,72
黄秀英,individual,黄秀英,264,7,2,112
胡和萍,individual,胡和萍,264,6,1,68
张秋云,individual,张秋云,263,2,2,259
胡妍,individual,胡妍,262,6,2,86
方季群,individual,方季群,261,4,1,128
刘志运,individual,刘志运,259,1,1,259
温州医科大学附属眼视光医院,hospital,温州医科大学附属眼视光医院,259,3,1,110
云南烟草科学研究院,research,云南烟草科学研究院,258,6,1,72
宋爱民,individual,宋爱民,257,6,1,70
遵义医科大学附属医院,hospital,遵义医科大学附属医院,254,4,1,120
王丽,individual,王丽,251,8,5,88
宁波市第一医院,hospital,宁波市第一医院,250,2,1,144
吴小杰,individual,吴小杰,249,4,1,80
王萍,individual,王萍,247,6,5,204
云南省热带作物科学研究所,research,云南省热带作物科学研究所,246,19,2,35
刘韶娜,individual,刘韶娜,245,1,1,245
史占彪,individual,史占彪,245,8,2,68
申清章,individual,申清章,244,3,2,95
樊荣,individual,樊荣,243,2,1,157
李德生,individual,李德生,242,3,1,160
洛阳尖端技术研究院,research,洛阳尖端技术研究院,241,4,1,108
王嘉兴,individual,王嘉兴,240,3,2,135
新疆医科大学第一附属医院,hospital,新疆医科大学第一附属医院,240,6,1,65
吴俊华,individual,吴俊华,238,1,1,238
贵阳铝镁设计研究院,research,贵阳铝镁设计研究院,238,3,1,119
赵百华,individual,赵百华,238,5,1,65
天长市地震办公室,other,天长市地震办公室,237,3,1,118
散裂中子源科学中心,other,散裂中子源科学中心,237,3,1,84
刘书元,individual,刘书元,235,1,1,235
天长市高新技术创业服务中心,other,天长市高新技术创业服务中心,235,3,1,82
襄阳市高新技术开发区盛力电子科技经营部,other,襄阳市高新技术开发区盛力电子科技经营部,230,1,1,230
自然资源部第三海洋研究所,research,自然资源部第三海洋研究所,230,3,1,97
长江三峡通航管理局,government,长江三峡通航管理局,230,4,1,84
江苏丘陵地区镇江农业科学研究所,research,江苏丘陵地区镇江农业科学研究所,230,8,1,67
张爱丽,individual,张爱丽,229,1,1,229
农业部南京农业机械化研究所,research,农业部南京农业机械化研究所,228,1,1,228
何寒,individual,何寒,228,6,1,92
李红光,individual,李红光,228,7,1,60
长春黄金研究院,research,长春黄金研究院,227,5,1,82
中国空气动力研究与发展中心设备设计与测试技术研究所,research,中国空气动力研究与发展中心设备设计与测试技术研究所,225,3,1,80
西安空间无线电技术研究所,research,西安空间无线电技术研究所,223,2,1,117
水利部牧区水利科学研究所,research,水利部牧区水利科学研究所,223,8,1,54
周林斌,individual,周林斌,221,3,1,158
郑运婷,individual,郑运婷,221,3,1,79
贵州省烟草科学研究院,research,贵州省烟草科学研究院,221,6,1,45
丁圣雨,individual,丁圣雨,219,1,1,219
孟玲,individual,孟玲,219,1,1,219
遵义医学院附属医院,hospital,遵义医学院附属医院,219,6,1,58
江苏物联网研究发展中心,other,江苏物联网研究发展中心,218,2,1,117
南通纺织丝绸产业技术研究院,research,南通纺织丝绸产业技术研究院,218,4,1,88
张新,individual,张新,217,2,2,216
济南开发区星火科学技术研究院,research,济南开发区星火科学技术研究院,216,2,1,118
王本,individual,王本,215,2,1,159
贵州省人民医院,hospital,贵州省人民医院,215,3,1,84
河北医科大学第三医院,hospital,河北医科大学第三医院,215,4,1,72
南方海洋科学与工程广东省实验室(湛江),research,南方海洋科学与工程广东省实验室(湛江),214,4,1,91
吴超然,individual,吴超然,212,2,1,119
廖华勇,individual,廖华勇,211,2,1,136
无锡市人民医院,hospital,无锡市人民医院,209,1,1,209
山东电力研究院,research,山东电力研究院,209,5,1,65
武汉邮电科学研究院,research,武汉邮电科学研究院,207,3,1,73
温州医科大学附属第二医院,hospital,温州医科大学附属第二医院,206,3,1,107
齐盼盼,individual,齐盼盼,205,1,1,205
中国水产科学研究院黄海水产研究所,research,中国水产科学研究院黄海水产研究所,203,4,1,62
川北医学院附属医院,hospital,川北医学院附属医院,202,7,1,57
许晓华,individual,许晓华,201,4,1,119
南京市秦淮医院,hospital,南京市秦淮医院,200,1,1,200
金余和,individual,金余和,200,1,1,200
温州市人民医院,hospital,温州市人民医院,200,4,1,58
黄石市志云机电科技研究所,research,黄石市志云机电科技研究所,199,3,1,89
淮安市第二人民医院,hospital,淮安市第二人民医院,197,2,1,134
罗建华,individual,罗建华,197,4,1,96
郝振荣,individual,郝振荣,196,4,1,178
冯世英,individual,冯世英,196,9,2,67
沈佩军,individual,沈佩军,195,1,1,195
刘玉秋,individual,刘玉秋,195,5,1,125
李耀强,individual,李耀强,195,4,1,57
姬志刚,individual,姬志刚,192,4,1,129
李红彪,individual,李红彪,192,5,1,76
李仕清,individual,李仕清,192,7,1,44
颜茹玉,individual,颜茹玉,191,1,1,191
中蓝连海设计研究院,research,中蓝连海设计研究院,191,9,1,49
嘉庚创新实验室,research,嘉庚创新实验室,190,2,1,130
申俊,individual,申俊,189,2,2,126
国科温州研究院(温州生物材料与工程研究所),research,国科温州研究院(温州生物材料与工程研究所),189,2,1,103
中国人民解放军63892部队,other,中国人民解放军63892部队,187,4,1,68
宁夏医科大学总医院,hospital,宁夏医科大学总医院,187,7,1,42
温永林,individual,温永林,186,5,1,70
伍志勇,individual,伍志勇,186,5,1,50
常州市武进人民医院,hospital,常州市武进人民医院,184,2,1,101
刘立文,individual,刘立文,184,3,1,79
徐梅,individual,徐梅,183,1,1,183
吴迪,individual,吴迪,183,6,6,131
广西壮族自治区水产科学研究院,research,广西壮族自治区水产科学研究院,183,3,1,73
南通市第二人民医院,hospital,南通市第二人民医院,183,4,1,47
栾清杨,individual,栾清杨,182,1,1,182
贵州电力试验研究院,research,贵州电力试验研究院,182,6,1,61
寇彩琴,individual,寇彩琴,179,3,1,114
