policy_name,batch_year,raw_region_name,mapping_level,coding,matched_city_count,matched_cities,rows_marked,source_name,source_url,note
broadband_china_pilot,2015,扬州市,city,city,1,扬州,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,嘉兴市,city,city,1,嘉兴,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,合肥市,city,city,1,合肥,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,铜陵市,city,city,1,铜陵,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,莆田市,city,city,1,莆田,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,新余市,city,city,1,新余,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,赣州市,city,city,1,赣州,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,东营市,city,city,1,东营,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,济宁市,city,city,1,济宁,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,德州市,city,city,1,德州,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,新乡市,city,city,1,新乡,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,永城市,city,city,1,商丘,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,黄石市,city,city,1,黄石,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,襄阳市,city,city,1,襄阳,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,宜昌市,city,city,1,宜昌,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,十堰市,city,city,1,十堰,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,随州市,city,city,1,随州,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,岳阳市,city,city,1,岳阳,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,汕头市,city,city,1,汕头,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
broadband_china_pilot,2015,梅州市,city,city,1,梅州,9,MIIT/NDRC 2015 Broadband China demonstration cities PDF,https://wap.miit.gov.cn/cms_files/filemanager/oldfile/miit/n973401/n1234279/n1234452/n1234453/c4376770/part/4376771.pdf,
