license_no,license_year,company,city,province,idc_scope,location_source
B1.B2-20211150,2021,北京龙亦时代科技有限公司,北京市,北京市,nan,scope_city_or_fallback
A2.B1-20194735,2019,上海市大数据股份有限公司,上海市,上海市,nan,scope_city_or_fallback
B1-20170257,2017,上海续连信息科技有限公司,上海市,上海市,上海市;南通市,scope_city_or_fallback
B1-20170257,2017,上海续连信息科技有限公司,南通市,江苏省,上海市;南通市,scope_city_or_fallback
B1-20183865,2018,深圳市杭金鲲鹏数据有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1-20230173,2023,保定森美科技有限公司,保定市,河北省,nan,scope_city_or_fallback
浙B1.B2-20120151,2012,浙江凌快德网络科技有限公司,杭州市,浙江省,nan,scope_city_or_fallback
B1.B2-20236013,2023,深圳市思翊诚科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1.B2-20225415,2022,锦锐科技有限公司,郑州市,河南省,nan,scope_city_or_fallback
京B1-20150092,2015,北京中科光环网络技术有限公司,北京市,北京市,nan,scope_city_or_fallback
宁B1-20240011,2024,中国广电宁夏网络有限公司,银川市,宁夏回族自治区,nan,scope_city_or_fallback
B1-20181807,2018,北京智控美信信息技术有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20222078,2022,淮南爱芮信息科技有限公司,淮南市,安徽省,nan,scope_city_or_fallback
B1-20181149,2018,深圳市云网网络科技有限责任公司,深圳市,广东省,nan,scope_city_or_fallback
B1-20242884,2024,北京匠心独运科技有限公司,北京市,北京市,nan,scope_city_or_fallback
渝B1.B2-20130016,2013,重庆宽视网络技术开发有限责任公司,重庆市,重庆市,nan,scope_city_or_fallback
川B1-20180352,2018,成都浩云华盛网络科技有限公司,成都市,四川省,nan,scope_city_or_fallback
B1.B2-20194726,2019,盐城睿翼网络技术服务有限公司,盐城市,江苏省,nan,scope_city_or_fallback
A2.B1-20170040,2017,上海灵旻信息科技有限公司,上海市,上海市,nan,scope_city_or_fallback
B1-20195772,2019,吉林市城市信息技术有限公司,吉林市,吉林省,nan,scope_city_or_fallback
A2.B1-20210236,2021,深圳市鑫云数据技术有限公司,深圳市,广东省,nan,scope_city_or_fallback
冀B1-20230089,2023,河北世纪福云通信技术有限公司,石家庄市,河北省,nan,scope_city_or_fallback
A2.B1-20242253,2024,深圳市致服科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
A2.B1-20201495,2020,辽宁天泽通信工程有限公司,沈阳市,辽宁省,nan,scope_city_or_fallback
B1-20201145,2020,江西飞速网络科技有限公司,萍乡市,江西省,nan,scope_city_or_fallback
B1-20243839,2024,抚顺辽星佳峰科技有限公司,抚顺市,辽宁省,nan,scope_city_or_fallback
B1-20215226,2021,中数云链科技有限公司,九江市,江西省,nan,scope_city_or_fallback
A2.B1.B2-20215244,2021,北京易畅达网络科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20170464,2017,深圳市中深联科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1-20222142,2022,四川锐速科技有限公司,雅安市,四川省,nan,scope_city_or_fallback
B1-20192753,2019,广州市鼎申科技发展有限公司,广州市,广东省,nan,scope_city_or_fallback
B1-20211427,2021,海南希岩存储技术有限公司,海口市,海南省,nan,scope_city_or_fallback
A2.B1-20184489,2018,北京雅歌方舟科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1.B2-20150161,2015,邯郸市众邦通讯器材有限公司,邯郸市,河北省,nan,scope_city_or_fallback
B1-20214279,2021,天一云数据（深圳）有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1.B2-20194927,2019,电科云（北京）科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20202889,2020,北京赛威迅通科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20195400,2019,北京互联星辰科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20241947,2024,内蒙古创盈汇科技有限公司,呼和浩特市,内蒙古自治区,nan,scope_city_or_fallback
A2.B1-20213053,2021,上海级泽通信服务有限公司,上海市,上海市,nan,scope_city_or_fallback
黔B2-20110005,2011,贵阳忆联网络有限公司,贵阳市,贵州省,贵州省,scope_city_or_fallback
B1-20184247,2018,医渡云（北京）技术有限公司,北京市,北京市,nan,scope_city_or_fallback
A2.B1-20130273,2013,北京天弛网络有限公司,北京市,北京市,nan,scope_city_or_fallback
A2.B1-20200191,2020,北京富盛视联图像系统运营服务有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20170827,2017,广东云奥网络科技有限公司,广州市,广东省,nan,scope_city_or_fallback
B1-20120218,2012,吉林省高升科技有限公司,长春市,吉林省,nan,scope_city_or_fallback
B1-20230020,2023,北京合盈云数据科技有限公司,北京市,北京市,nan,scope_city_or_fallback
A2.B1-20172005,2017,北京微网聚力网络科技有限公司,北京市,北京市,nan,scope_city_or_fallback
A2.B1-20203556,2020,零卷云计算（上海）有限公司,上海市,上海市,nan,scope_city_or_fallback
A2.B1-20200570,2020,上海锐速网络科技有限公司,上海市,上海市,nan,scope_city_or_fallback
豫B1.B2-20190108,2019,河南省北斗科技有限公司,驻马店市,河南省,nan,scope_city_or_fallback
浙B1-20170761,2017,杭州智库云科技有限公司,宁波市,浙江省,宁波市,scope_city_or_fallback
B1-20200360,2020,四川视觉蓝网络科技有限公司,成都市,四川省,nan,scope_city_or_fallback
B1-20180443,2018,北京易捷思达科技发展有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20224383,2022,安徽智城原街信息技术有限公司,合肥市,安徽省,nan,scope_city_or_fallback
蒙B1-20220723,2022,内蒙古蜜购电子商务有限公司,赤峰市,内蒙古自治区,nan,scope_city_or_fallback
冀B1-20190403,2019,香河亿云网络技术服务有限公司,廊坊市,河北省,nan,scope_city_or_fallback
B1-20243117,2024,北京东方超算科技有限公司,北京市,北京市,nan,scope_city_or_fallback
鲁B1-20150069,2015,山东欧赛网络科技有限公司,淄博市,山东省,淄博市,scope_city_or_fallback
川B1-20200407,2020,四川绿盾科技有限公司,成都市,四川省,nan,scope_city_or_fallback
B1-20161651,2016,武汉宽路信息科技有限公司,兰州市,甘肃省,鄂州市;兰州市,scope_city_or_fallback
B1-20161651,2016,武汉宽路信息科技有限公司,鄂州市,湖北省,鄂州市;兰州市,scope_city_or_fallback
A2.B1-20240164,2024,深圳市宝联数据科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
辽B2-20140026,2014,辽宁长宽网络服务有限公司,沈阳市,辽宁省,nan,scope_city_or_fallback
A2.B1-20223385,2022,浙江思极科技服务有限公司,杭州市,浙江省,nan,scope_city_or_fallback
B1-20223430,2022,北京亿极科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B2-20173343,2017,兴业数字金融服务（上海）股份有限公司,上海市,上海市,上海市;福州市,scope_city_or_fallback
B2-20173343,2017,兴业数字金融服务（上海）股份有限公司,福州市,福建省,上海市;福州市,scope_city_or_fallback
B1-20170489,2017,北京金航联科技发展有限公司,北京市,北京市,nan,scope_city_or_fallback
赣B1-20180012,2018,江西省昌谊得科技有限公司,南昌市,江西省,nan,scope_city_or_fallback
B1-20211009,2021,深圳市一土数据有限公司,深圳市,广东省,nan,scope_city_or_fallback
A2.B1.B2-20224575,2022,柳州市天际通科技有限公司,柳州市,广西壮族自治区,nan,scope_city_or_fallback
A2.B1-20225183,2022,上海硕曜科技有限公司,上海市,上海市,nan,scope_city_or_fallback
粤B1.B2-20051038,2005,深圳市新生代投资发展有限公司,湛江市,广东省,湛江市,scope_city_or_fallback
B1-20190849,2019,深圳市智安网络有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1-20222013,2022,成都甲商言科技有限公司,成都市,四川省,nan,scope_city_or_fallback
A2.B1-20130037,2013,深圳市赛柏特通信技术有限公司,上海市,上海市,银川市;深圳市;上海市;西安市;中卫市;贵阳市,scope_city_or_fallback
A2.B1-20130037,2013,深圳市赛柏特通信技术有限公司,中卫市,宁夏回族自治区,银川市;深圳市;上海市;西安市;中卫市;贵阳市,scope_city_or_fallback
A2.B1-20130037,2013,深圳市赛柏特通信技术有限公司,深圳市,广东省,银川市;深圳市;上海市;西安市;中卫市;贵阳市,scope_city_or_fallback
A2.B1-20130037,2013,深圳市赛柏特通信技术有限公司,西安市,陕西省,银川市;深圳市;上海市;西安市;中卫市;贵阳市,scope_city_or_fallback
A2.B1-20130037,2013,深圳市赛柏特通信技术有限公司,贵阳市,贵州省,银川市;深圳市;上海市;西安市;中卫市;贵阳市,scope_city_or_fallback
A2.B1-20130037,2013,深圳市赛柏特通信技术有限公司,银川市,宁夏回族自治区,银川市;深圳市;上海市;西安市;中卫市;贵阳市,scope_city_or_fallback
B1-20150287,2015,吉林省巨盛网络科技有限公司,长春市,吉林省,nan,scope_city_or_fallback
B1-20201752,2020,青岛云睿天信息技术有限公司,青岛市,山东省,nan,scope_city_or_fallback
B1.B2-20214129,2021,北京傲京辉腾科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20150773,2015,深圳市通网技术股份有限公司,深圳市,广东省,赣州市;深圳市,scope_city_or_fallback
B1-20150773,2015,深圳市通网技术股份有限公司,赣州市,江西省,赣州市;深圳市,scope_city_or_fallback
B1-20215355,2021,陕西众普信息科技有限公司,西安市,陕西省,nan,scope_city_or_fallback
B1-20243731,2024,泉州市界云网络科技有限公司,泉州市,福建省,nan,scope_city_or_fallback
B1-20180298,2018,深圳市海之景科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1.B2-20220539,2022,河北云晷科技有限公司,唐山市,河北省,nan,scope_city_or_fallback
B1.B2-20191799,2019,北京乐金飞利浦电子有限公司,北京市,北京市,nan,scope_city_or_fallback
鲁B2-20120077,2012,济南海腾信息技术有限公司,济南市,山东省,nan,scope_city_or_fallback
B1-20222815,2022,长治云时代技术有限公司,长治市,山西省,nan,scope_city_or_fallback
B1-20212757,2021,北京尚云天下科技有限公司,北京市,北京市,nan,scope_city_or_fallback
粤B2-20064001,2006,广东鸿波通信投资控股有限公司,深圳市,广东省,深圳市,scope_city_or_fallback
A2.B1-20224492,2022,怀来中科合盈宝悦大数据运营服务有限公司,张家口市,河北省,nan,scope_city_or_fallback
A2.B1-20171856,2017,云联世纪（北京）数据服务有限公司,北京市,北京市,nan,scope_city_or_fallback
冀B1-20150190,2015,石家庄禾仁信息科技有限公司,石家庄市,河北省,石家庄市,scope_city_or_fallback
B1-20202839,2020,深圳市美丽时代科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1-20221294,2022,快乐树（北京）科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20211707,2021,湖州龙格网络科技有限公司,湖州市,浙江省,nan,scope_city_or_fallback
B1-20180521,2018,郑州稳网互联计算机科技有限公司,郑州市,河南省,nan,scope_city_or_fallback
A2.B1.B2-20214392,2021,北京华油服务有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20183711,2018,深圳市科迈爱康科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1-20214551,2021,浙江节点猫科技有限公司,杭州市,浙江省,nan,scope_city_or_fallback
粤B1.B2-20041012,2004,茂名市承天网络科技有限公司,茂名市,广东省,广东省,scope_city_or_fallback
A2.B1-20230351,2023,北京网极云栖科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1.B2-20213408,2021,亳殷（河南）科技有限公司,商丘市,河南省,nan,scope_city_or_fallback
B1-20194261,2019,上海云佰科技发展有限公司,上海市,上海市,nan,scope_city_or_fallback
B1-20203854,2020,中山市中山网传媒有限公司,中山市,广东省,nan,scope_city_or_fallback
冀B1-20170040,2017,石家庄方能通信技术有限公司,廊坊市,河北省,廊坊市;石家庄市,scope_city_or_fallback
冀B1-20170040,2017,石家庄方能通信技术有限公司,石家庄市,河北省,廊坊市;石家庄市,scope_city_or_fallback
A2.B1-20243759,2024,上海秉璞网络科技有限公司,上海市,上海市,nan,scope_city_or_fallback
A2.B1-20200577,2020,上海市信息网络有限公司,上海市,上海市,nan,scope_city_or_fallback
A2.B1-20221758,2022,北京数字佳业科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20224400,2022,深圳市畅云数据科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1.B2-20203082,2020,信本赋能（深圳）科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
A2.B1.B2-20090001,2009,中国电信集团有限公司,北京市,北京市,nan,scope_city_or_fallback
A2.B1-20224864,2022,北京速通直达科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1.B2-20201913,2020,上海威东通信技术有限公司,上海市,上海市,nan,scope_city_or_fallback
A2.B1-20235737,2023,深圳市宝安信息管道管理有限公司,深圳市,广东省,nan,scope_city_or_fallback
A2.B1.B2-20183226,2018,福建星网互联信息技术有限公司,福州市,福建省,nan,scope_city_or_fallback
B1-20171494,2017,北京亚信通科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20195367,2019,鹏博士大数据有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1-20196353,2019,星际存储（深圳）网络科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
粤B1-20190001,2019,广东纳讯网络技术有限公司,东莞市,广东省,nan,scope_city_or_fallback
B1.B2-20210804,2021,深圳市奇网数字科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1.B2-20150067,2015,重庆云计算投资运营有限公司,重庆市,重庆市,nan,scope_city_or_fallback
B1-20230391,2023,吉林市老牛哥互联网科技有限公司,吉林市,吉林省,nan,scope_city_or_fallback
B1-20140208,2014,北京云泰数通互联网科技有限公司,北京市,北京市,nan,scope_city_or_fallback
粤B1.B2-20110560,2011,广东一一五科技股份有限公司,梅州市,广东省,广东省,scope_city_or_fallback
B1.B2-20222556,2022,中青国信科技（北京）有限公司,北京市,北京市,nan,scope_city_or_fallback
A2.B1.B2-20160001,2016,珠海大横琴科技发展有限公司,珠海市,广东省,nan,scope_city_or_fallback
B1-20172469,2017,北京盈骏科技有限公司,南昌市,江西省,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,scope_city_or_fallback
B1-20172469,2017,北京盈骏科技有限公司,合肥市,安徽省,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,scope_city_or_fallback
B1-20172469,2017,北京盈骏科技有限公司,呼和浩特市,内蒙古自治区,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,scope_city_or_fallback
B1-20172469,2017,北京盈骏科技有限公司,太原市,山西省,石家庄市;太原市;呼和浩特市;沈阳市;长春市;杭州市;合肥市;福州市;南昌市;武汉市;长沙市;成都市;西安市,scope_city_or_fallback
