symbol,year,patent_count_dedup,invention_count_dedup,strict_ai_title_all_count,ai_compute_title_all_count,strict_ai_title_invention_count,ai_compute_title_invention_count
000687,2007.0,2,2,0,0,0,0
000687,2008.0,2,0,0,0,0,0
000688,2018.0,1,1,0,0,0,0
000688,2021.0,1,0,0,0,0,0
000688,2024.0,1,0,0,0,0,0
000691,2016.0,6,0,0,0,0,0
000691,2018.0,6,1,0,0,0,0
000691,2020.0,2,0,0,0,0,0
000691,2021.0,2,0,0,0,0,0
000697,2015.0,2,2,0,0,0,0
000697,2019.0,2,0,0,0,0,0
000698,2016.0,3,3,0,0,0,0
000698,2020.0,1,1,0,0,0,0
000698,2022.0,2,2,0,0,0,0
000698,2023.0,2,2,0,0,0,0
000698,2024.0,1,1,0,0,0,0
000698,2025.0,2,2,0,0,0,0
000701,2016.0,1,1,0,0,0,0
000701,2017.0,2,2,0,0,0,0
000701,2018.0,1,1,0,0,0,0
000703,2010.0,2,2,0,0,0,0
000703,2012.0,2,1,0,0,0,0
000703,2016.0,1,1,0,0,0,0
000705,2021.0,2,2,0,0,0,0
000705,2023.0,1,1,0,0,0,0
000705,2024.0,1,1,0,0,0,0
000708,2007.0,1,0,0,0,0,0
000708,2010.0,1,1,0,0,0,0
000713,2007.0,1,1,0,0,0,0
000713,2009.0,2,2,0,0,0,0
000713,2012.0,1,1,0,0,0,0
000713,2013.0,2,2,0,0,0,0
000713,2015.0,1,1,0,0,0,0
000713,2016.0,2,2,0,0,0,0
000713,2020.0,1,1,0,0,0,0
000716,2002.0,1,1,0,0,0,0
000727,2008.0,1,1,0,0,0,0
000727,2009.0,1,1,0,0,0,0
000731,2013.0,1,1,0,0,0,0
000737,2013.0,1,1,0,0,0,0
000737,2014.0,1,1,0,0,0,0
000737,2017.0,1,1,0,0,0,0
000737,2018.0,1,0,0,0,0,0
000737,2019.0,3,1,0,0,0,0
000737,2020.0,1,1,0,0,0,0
000757,2023.0,17,0,0,0,0,0
000757,2024.0,18,4,0,0,0,0
000758,2014.0,1,1,0,0,0,0
000760,2009.0,1,1,0,0,0,0
000766,2010.0,1,1,0,0,0,0
000766,2011.0,3,3,0,0,0,0
000767,2017.0,2,2,0,0,0,0
000768,2008.0,1,1,0,0,0,0
000768,2009.0,1,0,0,0,0,0
000779,2020.0,4,0,0,0,0,0
000782,2008.0,2,0,0,0,0,0
000788,2015.0,2,2,0,0,0,0
000788,2016.0,1,1,0,0,0,0
000788,2017.0,2,2,0,0,0,0
000790,2008.0,2,2,0,0,0,0
000790,2009.0,3,3,0,0,0,0
000790,2011.0,2,2,0,0,0,0
000790,2012.0,2,2,0,0,0,0
000790,2015.0,1,1,0,0,0,0
000792,2015.0,1,1,0,0,0,0
000792,2022.0,4,4,0,0,0,0
000792,2023.0,5,5,0,0,0,0
000795,2012.0,3,0,0,0,0,0
000801,2012.0,3,3,0,0,0,0
000801,2013.0,1,1,0,0,0,0
000801,2015.0,1,0,0,0,0,0
000801,2016.0,1,1,0,0,0,0
000801,2017.0,3,3,0,0,0,0
000801,2018.0,2,2,0,0,0,0
000801,2019.0,1,1,0,0,0,0
000801,2021.0,1,1,0,0,0,0
000807,2019.0,1,1,0,0,0,0
000810,2008.0,3,3,0,0,0,0
000810,2009.0,5,0,0,0,0,0
000810,2010.0,33,3,0,0,0,0
000810,2011.0,45,15,0,0,0,0
000810,2012.0,67,11,0,1,0,1
000810,2013.0,119,45,0,2,0,2
000810,2014.0,103,24,0,4,0,4
000810,2015.0,130,38,0,3,0,3
000810,2016.0,175,83,0,3,0,3
000810,2017.0,173,47,0,6,0,6
000810,2018.0,206,62,0,5,0,5
000810,2019.0,310,71,0,4,0,4
000810,2020.0,150,59,0,5,0,5
000810,2021.0,23,12,0,1,0,1
000811,2016.0,1,1,0,0,0,0
000812,2017.0,2,0,0,0,0,0
000812,2018.0,14,3,0,0,0,0
000812,2019.0,5,0,0,0,0,0
000812,2020.0,31,6,0,0,0,0
000813,2018.0,2,2,0,0,0,0
000813,2019.0,1,1,0,0,0,0
000818,2014.0,2,2,0,0,0,0
000819,2014.0,2,2,0,0,0,0
000819,2015.0,2,2,0,0,0,0
000819,2016.0,6,2,0,0,0,0
000819,2017.0,3,3,0,0,0,0
000819,2019.0,2,2,0,0,0,0
000819,2020.0,5,1,0,0,0,0
000819,2022.0,1,0,0,0,0,0
000819,2023.0,3,3,0,0,0,0
000819,2025.0,3,2,0,0,0,0
000820,2025.0,1,0,0,0,0,0
