city,year,scope,total_patents,active_applicants,hhi,top1_share,top5_share,top10_share,effective_applicants,new_applicants,new_patents,new_applicant_share
佳木斯,2008,all_pub,265,158,0.024734781060875753,0.12830188679245283,0.24150943396226413,0.3207547169811321,40.42890040299367,113,159,0.6
保亭黎族苗族自治县,2008,all_pub,1,1,1.0,1.0,1.0,1.0,1.0,0,0,0.0
保定,2008,all_pub,1060,429,0.014432182271270915,0.06415094339622641,0.20471698113207545,0.3216981132075472,69.2895905278737,275,429,0.4047169811320755
保山,2008,all_pub,41,26,0.06246281975014872,0.14634146341463414,0.46341463414634143,0.6097560975609757,16.00952380952381,12,15,0.36585365853658536
信阳,2008,all_pub,199,115,0.018610641145425624,0.08040201005025126,0.22110552763819097,0.31658291457286436,53.7327001356852,76,99,0.49748743718592964
儋州,2008,all_pub,10,5,0.32000000000000006,0.5,0.9999999999999999,0.9999999999999999,3.1249999999999996,4,5,0.5
克孜勒苏柯尔克孜自治州,2008,all_pub,10,6,0.24000000000000007,0.4,0.9,1.0,4.166666666666665,6,10,1.0
克拉玛依,2008,all_pub,192,51,0.1389431423611111,0.3385416666666667,0.5885416666666666,0.6979166666666669,7.197188598203827,20,25,0.13020833333333334
六安,2008,all_pub,117,76,0.030316312367594408,0.1282051282051282,0.2649572649572649,0.3675213675213675,32.98554216867471,49,61,0.5213675213675214
六盘水,2008,all_pub,43,31,0.03839913466738778,0.06976744186046512,0.27906976744186046,0.5116279069767441,26.04225352112676,19,24,0.5581395348837209
兰州,2008,all_pub,1101,356,0.025150119493384342,0.09264305177111716,0.3051771117166212,0.40871934604904625,39.76124249680193,178,288,0.2615803814713896
